Season,Squad,PublishedPlayers,TotalWageBill,% Estimated,KnownPlayerWageRecords,KnownPlayerWages,MeanKnownAnnualWage,MedianKnownAnnualWage,HighestKnownAnnualWage,LowestKnownAnnualWage,WageStdDev,Top5KnownWages,PlayerRecordDifference,KnownWageCoveragePct,WageReconciliationDifference,ImpliedUnlistedAnnualWage,ImpliedUnlistedWeeklyWage,HighestToMedianWageRatio,Top5KnownWageShare,ObservedWageRange,LowCoverageFlag,HighCoverageFlag,LargeReconciliationFlag,WageDataFlag
14/15,Manchester Utd,43,141120000.0,100%,32,136812000.0,4275375.0,3510000.0,14820000.0,104000.0,3865002.6227925844,59280000.0,11,96.94727891156462,4308000.0,391636.36363636365,7531.468531468532,4.222222222222222,0.43329532497149376,14716000.0,False,False,False,False
14/15,Manchester City,36,122296000.0,100%,29,119963600.0,4136675.8620689656,4420000.0,9880000.0,20800.0,2950007.729003818,42120000.0,7,98.09282396807745,2332400.0,333200.0,6407.692307692308,2.235294117647059,0.3511065023056994,9859200.0,False,False,False,False
14/15,Chelsea,38,104644000.0,100%,27,97042800.0,3594177.777777778,4160000.0,9663000.0,20800.0,3055000.713752067,43280000.0,11,92.7361339398341,7601200.0,691018.1818181818,13288.811188811187,2.3228365384615386,0.44598878020832045,9642200.0,False,False,False,False
14/15,Arsenal,42,94677000.0,100%,37,94675400.0,2558794.5945945946,2408000.0,7280000.0,20800.0,2177799.942085532,31460000.0,5,99.998310043622,1600.0,320.0,6.153846153846154,3.0232558139534884,0.3322932884360668,7259200.0,False,False,False,False
14/15,Liverpool,35,82030000.0,100%,29,81250000.0,2801724.1379310344,2600000.0,7280000.0,78000.0,1923255.1813555155,29120000.0,6,99.04912836767036,780000.0,130000.0,2500.0,2.8,0.3584,7202000.0,False,False,False,False
14/15,Tottenham,43,65790000.0,100%,33,69274000.0,2099212.121212121,2002000.0,5460000.0,26000.0,1373702.7234261732,22360000.0,10,105.29563763489892,-3484000.0,,,2.727272727272727,0.3227762219591766,5434000.0,False,True,False,True
14/15,Everton,40,50455000.0,100%,35,47628600.0,1360817.142857143,1300000.0,4160000.0,20800.0,1154313.889792576,16120000.0,5,94.39817659300367,2826400.0,565280.0,10870.76923076923,3.2,0.3384521065074346,4139200.0,False,False,False,False
14/15,West Ham,36,45458000.0,100%,31,44062600.0,1421374.1935483871,1300000.0,7112000.0,20800.0,1374133.8573728888,18032000.0,5,96.93035329314972,1395400.0,279080.0,5366.923076923077,5.470769230769231,0.40923595067018287,7091200.0,False,False,False,False
14/15,QPR,41,45100000.0,100%,30,37674800.0,1255826.6666666667,1040000.0,4160000.0,20800.0,1146878.2236811467,15964000.0,11,83.53614190687362,7425200.0,675018.1818181818,12981.11888111888,4.0,0.4237315128414749,4139200.0,True,False,True,True
14/15,Southampton,37,42557000.0,100%,32,42509800.0,1328431.25,1508000.0,3938000.0,20800.0,1003336.287636757,13922000.0,5,99.88908992645158,47200.0,9440.0,181.53846153846155,2.6114058355437666,0.3275009527214901,3917200.0,False,False,False,False
