Season,Club,club_id,SummerSpend,SummerIncome,NetSpend,RecoveredIncomingFees,RecoveredOutgoingFees,InternalIncomingMoves,InternalOutgoingMoves,UnknownIncomingFees,UnknownOutgoingFees,NoFeeIncomingMoves,NoFeeOutgoingMoves,NotFoundIncomingFees,NotFoundOutgoingFees
08/09,West Ham,379,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
08/09,Man City,281,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
08/09,Wigan,1071,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
08/09,Stoke,512,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
08/09,Bolton,355,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
08/09,Portsmouth,1020,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0
08/09,Blackburn,164,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
08/09,Sunderland,289,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
08/09,Hull,3008,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
08/09,Newcastle,762,0.0,15000000.0,-15000000.0,0,0,1,0,0,0,0,0,0,0
08/09,Middlesbrough,641,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
08/09,West Brom,984,4000000.0,0.0,4000000.0,0,0,0,0,0,0,0,0,0,0
09/10,Chelsea,631,1750000.0,0.0,1750000.0,0,0,2,0,0,0,0,0,0,0
09/10,Man United,985,0.0,94000000.0,-94000000.0,0,0,0,0,0,0,0,0,0,0
09/10,Arsenal,11,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
09/10,Tottenham,148,5900000.0,0.0,5900000.0,0,0,0,0,0,0,0,0,0,0
09/10,Man City,281,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
09/10,Aston Villa,405,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
09/10,Liverpool,31,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
09/10,Everton,29,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
09/10,Birmingham,337,100000.0,0.0,100000.0,0,0,0,0,0,0,0,0,0,0
09/10,Blackburn,164,580000.0,0.0,580000.0,0,0,1,0,0,0,0,0,0,0
09/10,Stoke,512,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
09/10,Fulham,931,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
09/10,Sunderland,289,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
09/10,Bolton,355,2500000.0,0.0,2500000.0,0,0,0,0,0,0,0,0,0,0
09/10,Wolves,543,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
09/10,Wigan,1071,5100000.0,0.0,5100000.0,0,0,0,0,0,0,0,0,0,0
09/10,West Ham,379,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
09/10,Burnley,1132,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
09/10,Hull,3008,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
09/10,Portsmouth,1020,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
10/11,Man United,985,16800000.0,9500000.0,7300000.0,0,0,0,0,0,0,0,0,0,0
10/11,Chelsea,631,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
10/11,Man City,281,64000000.0,0.0,64000000.0,0,0,2,0,0,0,0,0,0,0
10/11,Arsenal,11,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
10/11,Tottenham,148,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0
10/11,Liverpool,31,4750000.0,0.0,4750000.0,0,0,0,0,0,0,0,0,0,0
10/11,Everton,29,0.0,600000.0,-600000.0,0,0,0,0,0,0,0,0,0,0
10/11,Fulham,931,0.0,8000000.0,-8000000.0,0,0,0,0,0,0,0,0,0,0
10/11,Aston Villa,405,0.0,22000000.0,-22000000.0,0,0,0,0,0,0,0,0,0,0
10/11,Sunderland,289,2500000.0,0.0,2500000.0,0,0,0,0,0,0,0,0,0,0
10/11,West Brom,984,300000.0,0.0,300000.0,0,0,0,0,0,0,0,0,0,0
10/11,Newcastle,762,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
10/11,Stoke,512,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
10/11,Bolton,355,2400000.0,1400000.0,1000000.0,0,0,0,0,0,0,0,0,0,0
10/11,Blackburn,164,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
10/11,Wigan,1071,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
10/11,Wolves,543,90000.0,0.0,90000.0,0,0,0,0,0,0,0,0,0,0
10/11,Birmingham,337,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
10/11,Blackpool,1181,1400000.0,0.0,1400000.0,0,0,0,0,0,0,0,0,0,0
10/11,West Ham,379,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
11/12,Man City,281,12000000.0,13500000.0,-1500000.0,0,0,0,0,0,0,0,0,0,0
11/12,Man United,985,43000000.0,0.0,43000000.0,0,0,1,0,0,0,0,0,0,0
11/12,Arsenal,11,14800000.0,0.0,14800000.0,0,0,2,0,0,0,0,0,0,0
11/12,Tottenham,148,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0
11/12,Newcastle,762,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
11/12,Chelsea,631,55250000.0,5000000.0,50250000.0,0,0,0,0,0,0,0,0,0,0
11/12,Everton,29,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0
11/12,Liverpool,31,30000000.0,0.0,30000000.0,0,0,1,0,0,0,0,0,0,0
11/12,Fulham,931,1600000.0,0.0,1600000.0,0,0,0,0,1,0,0,0,0,0
11/12,West Brom,984,0.0,2200000.0,-2200000.0,0,0,0,0,0,0,0,0,0,0
11/12,Swansea,2288,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
11/12,Norwich,1123,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
11/12,Sunderland,289,2400000.0,18000000.0,-15600000.0,0,0,1,0,0,0,0,0,0,0
11/12,Stoke,512,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
11/12,Wigan,1071,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
11/12,Aston Villa,405,0.0,18000000.0,-18000000.0,0,0,2,0,0,0,0,0,0,0
11/12,QPR,1039,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
11/12,Bolton,355,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
11/12,Blackburn,164,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
11/12,Wolves,543,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
12/13,Man United,985,21500000.0,1250000.0,20250000.0,0,0,0,0,0,0,0,0,0,0
12/13,Man City,281,15200000.0,0.0,15200000.0,0,0,1,0,0,0,0,0,0,0
12/13,Chelsea,631,20800000.0,0.0,20800000.0,0,0,0,0,0,0,0,0,0,0
12/13,Arsenal,11,46000000.0,0.0,46000000.0,0,0,2,0,0,0,0,0,0,0
12/13,Tottenham,148,35100000.0,35000000.0,100000.0,0,0,0,0,0,0,0,0,0,0
12/13,Everton,29,250000.0,0.0,250000.0,0,0,0,0,0,0,0,0,0,0
12/13,Liverpool,31,19000000.0,0.0,19000000.0,0,0,2,0,0,0,0,0,0,0
12/13,West Brom,984,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
12/13,Swansea,2288,7000000.0,19000000.0,-12000000.0,0,0,1,0,0,0,0,0,0,0
12/13,West Ham,379,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
12/13,Norwich,1123,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
12/13,Fulham,931,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
12/13,Stoke,512,4400000.0,0.0,4400000.0,0,0,0,0,0,0,0,0,0,0
12/13,Southampton,180,18800000.0,0.0,18800000.0,0,0,2,0,0,0,0,0,0,0
12/13,Aston Villa,405,2500000.0,0.0,2500000.0,0,0,0,0,0,0,0,0,0,0
12/13,Newcastle,762,0.0,2500000.0,-2500000.0,0,0,1,0,0,0,0,0,0,0
12/13,Sunderland,289,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
12/13,Wigan,1071,0.0,11500000.0,-11500000.0,0,0,0,0,0,0,0,0,0,0
12/13,Reading,1032,0.0,900000.0,-900000.0,0,0,0,0,0,0,0,0,0,0
12/13,QPR,1039,3750000.0,0.0,3750000.0,0,0,0,0,0,0,0,0,0,0
13/14,Man City,281,71000000.0,0.0,71000000.0,0,0,0,0,0,0,0,0,0,0
13/14,Liverpool,31,48400000.0,5800000.0,42600000.0,0,0,0,0,0,0,0,0,0,0
13/14,Chelsea,631,49250000.0,3500000.0,45750000.0,0,0,0,0,0,0,0,0,0,0
13/14,Arsenal,11,500000.0,2400000.0,-1900000.0,0,0,2,0,0,0,0,0,0,0
13/14,Everton,29,19300000.0,0.0,19300000.0,0,0,0,0,0,0,0,0,0,0
13/14,Tottenham,148,72800000.0,0.0,72800000.0,0,0,0,0,0,0,0,0,0,0
13/14,Man United,985,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
13/14,Southampton,180,10000000.0,0.0,10000000.0,0,0,2,0,0,0,0,0,0,0
13/14,Stoke,512,2800000.0,0.0,2800000.0,0,0,0,0,0,0,0,0,0,0
13/14,Newcastle,762,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
13/14,Crystal Palace,873,7300000.0,0.0,7300000.0,0,0,0,0,0,0,0,0,0,0
13/14,Swansea,2288,8700000.0,0.0,8700000.0,0,0,0,0,0,0,0,0,0,0
13/14,West Ham,379,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
13/14,Sunderland,289,7150000.0,10600000.0,-3450000.0,0,0,1,0,0,0,0,0,0,0
