Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Mesut Özil,de GER,MF,Arsenal,29,£ 350000 (€ 407470 $417571),£ 18200000 (€ 21188462 $21713674),Unverified estimation,16380240
2,Alexis Sánchez,cl CHI,FWMF,Manchester Utd,29,£ 350000 (€ 407470 $417571),£ 18200000 (€ 21188462 $21713674),Unverified estimation,2c0f8e9e
3,Gonzalo Higuaín,ar ARG,FW,Chelsea,30,£ 303404 (€ 353223 $361979),£ 15777000 (€ 18367602 $18822892),Unverified estimation,8a08491a
4,Paul Pogba,fr FRA,MF,Manchester Utd,25,£ 290000 (€ 337618 $345987),£ 15080000 (€ 17556154 $17991330),Unverified estimation,867239d3
5,Kevin De Bruyne,be BEL,MF,Manchester City,27,£ 230135 (€ 267923 $274564),£ 11967000 (€ 13931996 $14277337),Unverified estimation,e46012d4
6,Sergio Agüero,ar ARG,FW,Manchester City,30,£ 230135 (€ 267923 $274564),£ 11967000 (€ 13931996 $14277337),Unverified estimation,4d034881
7,Eden Hazard,be BEL,FW,Chelsea,27,£ 224423 (€ 261274 $267750),£ 11670000 (€ 13586228 $13922999),Unverified estimation,a39bb753
8,Cesc Fàbregas,es ESP,MF,Chelsea,31,£ 207096 (€ 241102 $247078),£ 10769000 (€ 12537283 $12848052),Unverified estimation,33508c78
9,Henrikh Mkhitaryan,am ARM,MFFW,Arsenal,29,£ 200000 (€ 232840 $238612),£ 10400000 (€ 12107692 $12407814),Unverified estimation,dd0daf32
10,David de Gea,es ESP,GK,Manchester Utd,27,£ 200000 (€ 232840 $238612),£ 10400000 (€ 12107692 $12407814),Unverified estimation,7ba6d84e
11,Harry Kane,eng ENG,FW,Tottenham,25,£ 200000 (€ 232840 $238612),£ 10400000 (€ 12107692 $12407814),Unverified estimation,21a66f6a
12,Mohamed Salah,eg EGY,FW,Liverpool,26,£ 200000 (€ 232840 $238612),£ 10400000 (€ 12107692 $12407814),Unverified estimation,e342ad68
13,Riyad Mahrez,dz ALG,FWMF,Manchester City,27,£ 200000 (€ 232840 $238612),£ 10400000 (€ 12107692 $12407814),Unverified estimation,892d5bb1
14,Alexandre Lacazette,fr FRA,FW,Arsenal,27,£ 182077 (€ 211974 $217229),£ 9468000 (€ 11022657 $11295883),Unverified estimation,9dbb75ca
15,Pierre-Emerick Aubameyang,ga GAB,FWMF,Arsenal,29,£ 180000 (€ 209556 $214751),£ 9360000 (€ 10896923 $11167032),Unverified estimation,d5dd5f1f
16,Romelu Lukaku,be BEL,FW,Manchester Utd,25,£ 180000 (€ 209556 $214751),£ 9360000 (€ 10896923 $11167032),Unverified estimation,5eae500a
17,Roberto Firmino,br BRA,FWMF,Liverpool,26,£ 180000 (€ 209556 $214751),£ 9360000 (€ 10896923 $11167032),Unverified estimation,4c370d81
