Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37,£ 515000 (€ 598621 $654569),£ 26780000 (€ 31128301 $34037573),,dea698d9
2,Kevin De Bruyne,be BEL,MF,Manchester City,31,£ 400000 (€ 464948 $508403),£ 20800000 (€ 24177321 $26436950),,e46012d4
3,David de Gea,es ESP,GK,Manchester Utd,31,£ 375000 (€ 435889 $476628),£ 19500000 (€ 22666238 $24784640),,7ba6d84e
4,Erling Haaland,no NOR,FWMF,Manchester City,22,£ 375000 (€ 435889 $476628),£ 19500000 (€ 22666238 $24784640),,1f44ac21
5,Casemiro,br BRA,MF,Manchester Utd,30,£ 350000 (€ 406830 $444853),£ 18200000 (€ 21155156 $23132331),,4d224fe8
6,Jadon Sancho,eng ENG,MF,Manchester Utd,22,£ 350000 (€ 406830 $444853),£ 18200000 (€ 21155156 $23132331),,dbf053da
7,Mohamed Salah,eg EGY,FW,Liverpool,30,£ 350000 (€ 406830 $444853),£ 18200000 (€ 21155156 $23132331),,e342ad68
8,Raphaël Varane,fr FRA,DF,Manchester Utd,29,£ 340000 (€ 395206 $432142),£ 17680000 (€ 20550723 $22471407),,9f8e9423
9,Raheem Sterling,eng ENG,FWMF,Chelsea,27,£ 325000 (€ 377771 $413077),£ 16900000 (€ 19644073 $21480022),,b400bde0
10,Jack Grealish,eng ENG,FWMF,Manchester City,26,£ 300000 (€ 348711 $381302),£ 15600000 (€ 18132991 $19827712),,b0b4fd3e
11,Kalidou Koulibaly,sn SEN,DF,Chelsea,31,£ 295000 (€ 342900 $374947),£ 15340000 (€ 17830774 $19497250),,da974c7b
12,N'Golo Kanté,fr FRA,MF,Chelsea,31,£ 290000 (€ 337088 $368592),£ 15080000 (€ 17528558 $19166789),,b9fbae28
13,Gabriel Jesus,br BRA,FW,Arsenal,25,£ 265000 (€ 308028 $336817),£ 13780000 (€ 16017475 $17514479),,b66315ae
14,Anthony Martial,fr FRA,FW,Manchester Utd,26,£ 250000 (€ 290593 $317752),£ 13000000 (€ 15110826 $16523094),,8b788c01
15,Kai Havertz,de GER,FWMF,Chelsea,23,£ 250000 (€ 290593 $317752),£ 13000000 (€ 15110826 $16523094),,fed7cb61
16,Reece James,eng ENG,DFMF,Chelsea,22,£ 250000 (€ 290593 $317752),£ 13000000 (€ 15110826 $16523094),,1265a93a
17,João Cancelo,pt POR,DF,Manchester City,28,£ 250000 (€ 290593 $317752),£ 13000000 (€ 15110826 $16523094),,bd6351cd
18,John Stones,eng ENG,DFMF,Manchester City,28,£ 250000 (€ 290593 $317752),£ 13000000 (€ 15110826 $16523094),,5eecec3d
19,Bruno Fernandes,pt POR,MF,Manchester Utd,27,£ 240000 (€ 278969 $305042),£ 12480000 (€ 14506393 $15862170),,507c7bdf
20,Phil Foden,eng ENG,FWMF,Manchester City,22,£ 225000 (€ 261534 $285977),£ 11700000 (€ 13599743 $14870784),,ed1e53f3
21,Virgil van Dijk,nl NED,DF,Liverpool,31,£ 220000 (€ 255722 $279622),£ 11440000 (€ 13297527 $14540322),,e06683ca
22,Rodri,es ESP,MFDF,Manchester City,26,£ 220000 (€ 255722 $279622),£ 11440000 (€ 13297527 $14540322),,6434f10d
23,Marcel Sabitzer,at AUT,MF,Manchester Utd,28,£ 210000 (€ 244098 $266912),£ 10920000 (€ 12693094 $13879399),,e280527c
24,Thomas Partey,gh GHA,MF,Arsenal,29,£ 200000 (€ 232474 $254201),£ 10400000 (€ 12088660 $13218475),,529f49ab
25,Antony,br BRA,MF,Manchester Utd,22,£ 200000 (€ 232474 $254201),£ 10400000 (€ 12088660 $13218475),,99127249
26,Marcus Rashford,eng ENG,FWMF,Manchester Utd,24,£ 200000 (€ 232474 $254201),£ 10400000 (€ 12088660 $13218475),,a1d5bd30
27,Harry Kane,eng ENG,FW,Tottenham,29,£ 200000 (€ 232474 $254201),£ 10400000 (€ 12088660 $13218475),,21a66f6a
28,Thiago Alcántara,es ESP,MF,Liverpool,31,£ 200000 (€ 232474 $254201),£ 10400000 (€ 12088660 $13218475),,77e84962
29,Wesley Fofana,fr FRA,DF,Chelsea,21,£ 200000 (€ 232474 $254201),£ 10400000 (€ 12088660 $13218475),,132a82f1
30,João Félix,pt POR,FWMF,Chelsea,22,£ 195000 (€ 226662 $247846),£ 10140000 (€ 11786444 $12888013),,8aafd64f
31,Harry Maguire,eng ENG,DF,Manchester Utd,29,£ 190000 (€ 220851 $241491),£ 9880000 (€ 11484227 $12557551),,d8931174
32,Son Heung-min,kr KOR,MFFW,Tottenham,30,£ 190000 (€ 220851 $241491),£ 9880000 (€ 11484227 $12557551),,92e7e919
33,Ben Chilwell,eng ENG,MFDF,Chelsea,25,£ 190000 (€ 220851 $241491),£ 9880000 (€ 11484227 $12557551),,d2424d1b
34,Ivan Perišić,hr CRO,MF,Tottenham,33,£ 180000 (€ 209227 $228781),£ 9360000 (€ 10879794 $11896627),,6fe90922
35,Fabinho,br BRA,MF,Liverpool,28,£ 180000 (€ 209227 $228781),£ 9360000 (€ 10879794 $11896627),,7f3b388c
36,Roberto Firmino,br BRA,FW,Liverpool,30,£ 180000 (€ 209227 $228781),£ 9360000 (€ 10879794 $11896627),,4c370d81
37,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,£ 180000 (€ 209227 $228781),£ 9360000 (€ 10879794 $11896627),,cd1acf9d
38,César Azpilicueta,es ESP,DFMF,Chelsea,32,£ 180000 (€ 209227 $228781),£ 9360000 (€ 10879794 $11896627),,53cad200
39,Enzo Fernández,ar ARG,MF,Chelsea,21,£ 180000 (€ 209227 $228781),£ 9360000 (€ 10879794 $11896627),,5ff4ab71
40,Manuel Akanji,ch SUI,DFMF,Manchester City,27,£ 180000 (€ 209227 $228781),£ 9360000 (€ 10879794 $11896627),,89ac64a6
41,Rúben Dias,pt POR,DFMF,Manchester City,25,£ 180000 (€ 209227 $228781),£ 9360000 (€ 10879794 $11896627),,31c69ef1
42,Marc Cucurella,es ESP,DFMF,Chelsea,24,£ 175000 (€ 203415 $222426),£ 9100000 (€ 10577578 $11566166),,1daec722
43,Cristian Romero,ar ARG,DF,Tottenham,24,£ 165000 (€ 191791 $209716),£ 8580000 (€ 9973145 $10905242),,a3d94a58
44,Lucas Digne,fr FRA,DF,Aston Villa,29,£ 160000 (€ 185979 $203361),£ 8320000 (€ 9670928 $10574780),,1b84dbe1
45,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,£ 160000 (€ 185979 $203361),£ 8320000 (€ 9670928 $10574780),,d5dd5f1f
46,Kyle Walker,eng ENG,DFMF,Manchester City,32,£ 160000 (€ 185979 $203361),£ 8320000 (€ 9670928 $10574780),,86dd77d1
47,Riyad Mahrez,dz ALG,MFFW,Manchester City,31,£ 160000 (€ 185979 $203361),£ 8320000 (€ 9670928 $10574780),,892d5bb1
48,Oleksandr Zinchenko,ua UKR,DF,Arsenal,25,£ 150000 (€ 174356 $190651),£ 7800000 (€ 9066495 $9913856),,51cf8561
49,Christian Eriksen,dk DEN,MF,Manchester Utd,30,£ 150000 (€ 174356 $190651),£ 7800000 (€ 9066495 $9913856),,980522ec
50,Luke Shaw,eng ENG,DF,Manchester Utd,27,£ 150000 (€ 174356 $190651),£ 7800000 (€ 9066495 $9913856),,9c94165b
51,Lucas Paquetá,br BRA,MF,West Ham,24,£ 150000 (€ 174356 $190651),£ 7800000 (€ 9066495 $9913856),,9b6f7fd5
52,Alisson,br BRA,GK,Liverpool,29,£ 150000 (€ 174356 $190651),£ 7800000 (€ 9066495 $9913856),,7a2e46a8
53,Boubacar Kamara,fr FRA,MF,Aston Villa,22,£ 150000 (€ 174356 $190651),£ 7800000 (€ 9066495 $9913856),,cc77354e
54,Christian Pulisic,us USA,MFFW,Chelsea,23,£ 150000 (€ 174356 $190651),£ 7800000 (€ 9066495 $9913856),,1bf33a9a
55,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,£ 150000 (€ 174356 $190651),£ 7800000 (€ 9066495 $9913856),,28d596a0
56,Bernardo Silva,pt POR,MFFW,Manchester City,27,£ 150000 (€ 174356 $190651),£ 7800000 (€ 9066495 $9913856),,3eb22ec9
57,Kalvin Phillips,eng ENG,MFDF,Manchester City,26,£ 150000 (€ 174356 $190651),£ 7800000 (€ 9066495 $9913856),,4f565d77
58,Clément Lenglet,fr FRA,DF,Tottenham,27,£ 145000 (€ 168544 $184296),£ 7540000 (€ 8764279 $9583394),,4f28a6ff
59,Darwin Núñez,uy URU,FW,Liverpool,23,£ 140000 (€ 162732 $177941),£ 7280000 (€ 8462062 $9252932),,4d77b365
60,Diogo Jota,pt POR,FWMF,Liverpool,25,£ 140000 (€ 162732 $177941),£ 7280000 (€ 8462062 $9252932),,178ae8f8
61,Jordan Henderson,eng ENG,MF,Liverpool,32,£ 140000 (€ 162732 $177941),£ 7280000 (€ 8462062 $9252932),,935e6b8f
62,Jamie Vardy,eng ENG,FW,Leicester City,35,£ 140000 (€ 162732 $177941),£ 7280000 (€ 8462062 $9252932),,45963054
63,İlkay Gündoğan,de GER,MF,Manchester City,31,£ 140000 (€ 162732 $177941),£ 7280000 (€ 8462062 $9252932),,819b3158
64,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,29,£ 130000 (€ 151108 $165231),£ 6760000 (€ 7857629 $8592009),,b2bc3b1f
65,Danny Ings,eng ENG,FW,West Ham,30,£ 125000 (€ 145296 $158876),£ 6500000 (€ 7555413 $8261547),,07802f7f
66,Kurt Zouma,fr FRA,DF,West Ham,27,£ 125000 (€ 145296 $158876),£ 6500000 (€ 7555413 $8261547),,ce4246f5
67,Philippe Coutinho,br BRA,FWMF,Aston Villa,30,£ 125000 (€ 145296 $158876),£ 6500000 (€ 7555413 $8261547),,0ef89a37
68,Ben White,eng ENG,DF,Arsenal,24,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,35e413f1
69,Granit Xhaka,ch SUI,MF,Arsenal,29,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),Unverified estimation,e61b8aee
70,Donny van de Beek,nl NED,MF,Manchester Utd,25,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,50dc94ce
71,Fred,br BRA,MF,Manchester Utd,29,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,b853e0ad
72,Lisandro Martínez,ar ARG,DF,Manchester Utd,24,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,bac46a10
73,Victor Lindelöf,se SWE,DF,Manchester Utd,28,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,f5deef4c
74,Alphonse Areola,fr FRA,GK,West Ham,29,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,2f965a72
75,Alex Oxlade-Chamberlain,eng ENG,FW,Liverpool,28,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,38c7feef
76,Cody Gakpo,nl NED,FW,Liverpool,23,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,1971591f
77,Naby Keïta,gn GUI,MF,Liverpool,27,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,f25c8e3a
78,Emiliano Martínez,ar ARG,GK,Aston Villa,29,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,7956236f
79,Alexander Isak,se SWE,FW,Newcastle,22,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,8e92be30
80,Bruno Guimarães,br BRA,MF,Newcastle,24,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,82518f62
81,Ruben Loftus-Cheek,eng ENG,MF,Chelsea,26,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,e97fd090
82,Abdoulaye Doucouré,ml MLI,MF,Everton,29,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,02b29014
83,Alex Iwobi,ng NGA,MF,Everton,26,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,6ca5ec4b
84,Yerry Mina,co COL,DF,Everton,27,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,6d5701f2
85,Aymeric Laporte,es ESP,DFMF,Manchester City,28,£ 120000 (€ 139485 $152521),£ 6240000 (€ 7253196 $7931085),,119b9a8e
86,Martin Ødegaard,no NOR,MF,Arsenal,23,£ 115000 (€ 133673 $146166),£ 5980000 (€ 6950980 $7600623),,79300479
87,Jorginho,it ITA,MF,Arsenal,30,£ 110000 (€ 127861 $139811),£ 5720000 (€ 6648763 $7270161),,45db685d
88,Kieran Tierney,sct SCO,DF,Arsenal,25,£ 110000 (€ 127861 $139811),£ 5720000 (€ 6648763 $7270161),,fce2302c
89,Dejan Kulusevski,se SWE,MFFW,Tottenham,22,£ 110000 (€ 127861 $139811),£ 5720000 (€ 6648763 $7270161),,df3cda47
90,Arthur Melo,br BRA,MF,Liverpool,25,£ 110000 (€ 127861 $139811),£ 5720000 (€ 6648763 $7270161),Unverified estimation,48b3dd60
91,James Maddison,eng ENG,MFFW,Leicester City,25,£ 110000 (€ 127861 $139811),£ 5720000 (€ 6648763 $7270161),,ee38d9c5
92,Thiago Silva,br BRA,DF,Chelsea,37,£ 110000 (€ 127861 $139811),£ 5720000 (€ 6648763 $7270161),,86e7deaf
93,Eddie Nketiah,eng ENG,FW,Arsenal,23,£ 100000 (€ 116237 $127101),£ 5200000 (€ 6044330 $6609237),,a53649b7
94,James Ward-Prowse,eng ENG,MF,Southampton,27,£ 100000 (€ 116237 $127101),£ 5200000 (€ 6044330 $6609237),,3515d404
95,Hugo Lloris,fr FRA,GK,Tottenham,35,£ 100000 (€ 116237 $127101),£ 5200000 (€ 6044330 $6609237),,8f62b6ee
96,Pierre Højbjerg,dk DEN,MF,Tottenham,26,£ 100000 (€ 116237 $127101),£ 5200000 (€ 6044330 $6609237),,8b04d6c1
97,Rodrigo,es ESP,FWMF,Leeds United,31,£ 100000 (€ 116237 $127101),£ 5200000 (€ 6044330 $6609237),,1fb1c435
98,Andy Robertson,sct SCO,DF,Liverpool,28,£ 100000 (€ 116237 $127101),£ 5200000 (€ 6044330 $6609237),,2e4f5f03
99,Joël Matip,cm CMR,DF,Liverpool,30,£ 100000 (€ 116237 $127101),£ 5200000 (€ 6044330 $6609237),,b217ef29
100,Diego Carlos,br BRA,DF,Aston Villa,29,£ 100000 (€ 116237 $127101),£ 5200000 (€ 6044330 $6609237),,b4a014b1
101,Leon Bailey,jm JAM,FWMF,Aston Villa,24,£ 100000 (€ 116237 $127101),£ 5200000 (€ 6044330 $6609237),,3a233281
102,João Moutinho,pt POR,MF,Wolves,35,£ 100000 (€ 116237 $127101),£ 5200000 (€ 6044330 $6609237),,f5a00fa4
103,Raúl Jiménez,mx MEX,FW,Wolves,31,£ 100000 (€ 116237 $127101),£ 5200000 (€ 6044330 $6609237),,b561db50
