Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Radamel Falcao,co COL,FW,Manchester Utd,28,£ 285000 (€ 328073 $359614),£ 14820000 (€ 17059804 $18699938),Unverified estimation,66116290
2,Ángel Di María,ar ARG,FWMF,Manchester Utd,26,£ 250000 (€ 287783 $315451),£ 13000000 (€ 14964741 $16403455),Unverified estimation,19cda00b
3,Wayne Rooney,eng ENG,FWMF,Manchester Utd,28,£ 235000 (€ 270516 $296524),£ 12220000 (€ 14066856 $15419247),Unverified estimation,f07be45a
4,Robin van Persie,nl NED,FW,Manchester Utd,30,£ 210000 (€ 241738 $264979),£ 10920000 (€ 12570382 $13778902),Unverified estimation,3fcab3a8
5,Yaya Touré,ci CIV,MF,Manchester City,31,£ 190000 (€ 218715 $239743),£ 9880000 (€ 11373203 $12466625),Unverified estimation,c204f844
6,Eden Hazard,be BEL,FWMF,Chelsea,23,£ 185827 (€ 213912 $234477),£ 9663000 (€ 11123407 $12192814),Unverified estimation,a39bb753
7,John Terry,eng ENG,DF,Chelsea,33,£ 175000 (€ 201448 $220816),£ 9100000 (€ 10475318 $11482418),Unverified estimation,68517cfd
8,Cesc Fàbregas,es ESP,FWMF,Chelsea,27,£ 171481 (€ 197397 $216375),£ 8917000 (€ 10264661 $11251508),Unverified estimation,33508c78
9,Juan Mata,es ESP,FWMF,Manchester Utd,26,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,29733c72
10,David Silva,es ESP,FWMF,Manchester City,28,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,e2716bd0
11,Sergio Agüero,ar ARG,FW,Manchester City,26,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,4d034881
12,Samir Nasri,fr FRA,FWMF,Manchester City,27,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,165bed61
13,Vincent Kompany,be BEL,DF,Manchester City,28,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,d2bff301
14,Diego Costa,es ESP,FW,Chelsea,25,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,a190d597
15,Oscar,br BRA,FWMF,Chelsea,22,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,57fe98dd
