Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Luis Suárez,uy URU,FW,Liverpool,26,£ 200000 (€ 230227 $252361),£ 10400000 (€ 11971793 $13122764),Unverified estimation,a6154613
2,Yaya Touré,ci CIV,MF,Manchester City,30,£ 190000 (€ 218715 $239743),£ 9880000 (€ 11373203 $12466625),Unverified estimation,c204f844
3,Eden Hazard,be BEL,FWMF,Chelsea,22,£ 181712 (€ 209174 $229284),£ 9449000 (€ 10877064 $11922788),Unverified estimation,a39bb753
4,Robin van Persie,nl NED,FW,Manchester Utd,29,£ 180000 (€ 207204 $227125),£ 9360000 (€ 10774613 $11810487),Unverified estimation,3fcab3a8
5,Wayne Rooney,eng ENG,FWMF,Manchester Utd,27,£ 180000 (€ 207204 $227125),£ 9360000 (€ 10774613 $11810487),Unverified estimation,f07be45a
6,Fernando Torres,es ESP,FW,Chelsea,29,£ 175000 (€ 201448 $220816),£ 9100000 (€ 10475318 $11482418),Unverified estimation,bdf7b97d
7,John Terry,eng ENG,DF,Chelsea,32,£ 175000 (€ 201448 $220816),£ 9100000 (€ 10475318 $11482418),Unverified estimation,68517cfd
8,David Silva,es ESP,FWMF,Manchester City,27,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,e2716bd0
9,Sergio Agüero,ar ARG,FW,Manchester City,25,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,4d034881
10,Vincent Kompany,be BEL,DF,Manchester City,27,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,d2bff301
11,Mesut Özil,de GER,MF,Arsenal,24,£ 140000 (€ 161159 $176653),£ 7280000 (€ 8380255 $9185935),Unverified estimation,16380240
12,Frank Lampard,eng ENG,MF,Chelsea,35,£ 140000 (€ 161159 $176653),£ 7280000 (€ 8380255 $9185935),Unverified estimation,268df6b1
13,Samir Nasri,fr FRA,FWMF,Manchester City,26,£ 140000 (€ 161159 $176653),£ 7280000 (€ 8380255 $9185935),Unverified estimation,165bed61
14,Ashley Young,eng ENG,DFFW,Manchester Utd,28,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,be927d03
