Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Paul Pogba,fr FRA,MF,Manchester Utd,23,£ 290000 (€ 333829 $365923),£ 15080000 (€ 17359099 $19028007),Unverified estimation,867239d3
2,Bastian Schweinsteiger,de GER,DFMF,Manchester Utd,31,£ 240000 (€ 286216 $291653),£ 12480000 (€ 14883207 $15165961),Unverified estimation,ccc22fea
3,Bastian Schweinsteiger,de GER,DFMF,Manchester Utd,31,£ 240000 (€ 276272 $302833),£ 12480000 (€ 14366151 $15747316),Unverified estimation,ccc22fea
4,Wayne Rooney,eng ENG,MFFW,Manchester Utd,30,£ 235000 (€ 270516 $296524),£ 12220000 (€ 14066856 $15419247),Unverified estimation,f07be45a
5,Zlatan Ibrahimović,se SWE,FW,Manchester Utd,34,£ 220000 (€ 253249 $277597),£ 11440000 (€ 13168972 $14435040),Unverified estimation,4cde5509
6,Eden Hazard,be BEL,FWMF,Chelsea,25,£ 215346 (€ 247892 $271725),£ 11198000 (€ 12890397 $14129683),Unverified estimation,a39bb753
7,David de Gea,es ESP,GK,Manchester Utd,25,£ 200000 (€ 230227 $252361),£ 10400000 (€ 11971793 $13122764),Unverified estimation,7ba6d84e
8,Cesc Fàbregas,es ESP,MF,Chelsea,29,£ 198712 (€ 228744 $250735),£ 10333000 (€ 11894667 $13038223),Unverified estimation,33508c78
9,Yaya Touré,ci CIV,MF,Manchester City,33,£ 190000 (€ 218715 $239743),£ 9880000 (€ 11373203 $12466625),Unverified estimation,c204f844
10,Henrikh Mkhitaryan,am ARM,FWMF,Manchester Utd,27,£ 180000 (€ 207204 $227125),£ 9360000 (€ 10774613 $11810487),Unverified estimation,dd0daf32
11,Juan Mata,es ESP,MFFW,Manchester Utd,28,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,29733c72
12,David Silva,es ESP,MF,Manchester City,30,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,e2716bd0
13,Sergio Agüero,ar ARG,FW,Manchester City,28,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,4d034881
14,Kevin De Bruyne,be BEL,MF,Manchester City,25,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,e46012d4
15,Raheem Sterling,eng ENG,MFFW,Manchester City,21,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,b400bde0
16,Vincent Kompany,be BEL,DF,Manchester City,30,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,d2bff301
17,Diego Costa,es ESP,FW,Chelsea,27,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,a190d597
18,N'Golo Kanté,fr FRA,MF,Chelsea,25,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,b9fbae28
19,Alexis Sánchez,cl CHI,FWMF,Arsenal,27,£ 140000 (€ 161159 $176653),£ 7280000 (€ 8380255 $9185935),Unverified estimation,2c0f8e9e
20,Mesut Özil,de GER,MF,Arsenal,27,£ 140000 (€ 161159 $176653),£ 7280000 (€ 8380255 $9185935),Unverified estimation,16380240
