Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Alexis Sánchez,cl CHI,MF,Arsenal,28,£ 350000 (€ 402897 $441631),£ 18200000 (€ 20950637 $22964836),Unverified estimation,2c0f8e9e
2,Mesut Özil,de GER,MFFW,Arsenal,28,£ 350000 (€ 402897 $441631),£ 18200000 (€ 20950637 $22964836),Unverified estimation,16380240
3,Eden Hazard,be BEL,FWMF,Chelsea,26,£ 222865 (€ 256548 $281212),£ 11589000 (€ 13340491 $14623049),Unverified estimation,a39bb753
4,Cesc Fàbregas,es ESP,MF,Chelsea,30,£ 205654 (€ 236735 $259495),£ 10694000 (€ 12310226 $13493734),Unverified estimation,33508c78
5,Henrikh Mkhitaryan,am ARM,MFFW,Arsenal,28,£ 200000 (€ 230227 $252361),£ 10400000 (€ 11971793 $13122764),Unverified estimation,dd0daf32
6,David de Gea,es ESP,GK,Manchester Utd,26,£ 200000 (€ 230227 $252361),£ 10400000 (€ 11971793 $13122764),Unverified estimation,7ba6d84e
7,Paul Pogba,fr FRA,MF,Manchester Utd,24,£ 200000 (€ 230227 $252361),£ 10400000 (€ 11971793 $13122764),Unverified estimation,867239d3
8,Yaya Touré,ci CIV,MF,Manchester City,34,£ 190000 (€ 218715 $239743),£ 9880000 (€ 11373203 $12466625),Unverified estimation,c204f844
9,Alexandre Lacazette,fr FRA,FW,Arsenal,26,£ 182077 (€ 209595 $229745),£ 9468000 (€ 10898936 $11946762),Unverified estimation,9dbb75ca
10,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,£ 180000 (€ 207204 $227125),£ 9360000 (€ 10774613 $11810487),Unverified estimation,d5dd5f1f
11,Romelu Lukaku,be BEL,FW,Manchester Utd,24,£ 180000 (€ 207204 $227125),£ 9360000 (€ 10774613 $11810487),Unverified estimation,5eae500a
12,Virgil van Dijk,nl NED,DF,Southampton,26,£ 180000 (€ 207204 $227125),£ 9360000 (€ 10774613 $11810487),Unverified estimation,e06683ca
13,Fernandinho,br BRA,MF,Manchester City,32,£ 180000 (€ 207204 $227125),£ 9360000 (€ 10774613 $11810487),Unverified estimation,101da2b5
14,Nicolás Otamendi,ar ARG,DF,Manchester City,29,£ 180000 (€ 207204 $227125),£ 9360000 (€ 10774613 $11810487),Unverified estimation,0d267745
15,Kevin De Bruyne,be BEL,MF,Manchester City,26,£ 175000 (€ 201448 $220816),£ 9100000 (€ 10475318 $11482418),Unverified estimation,e46012d4
16,Álvaro Morata,es ESP,FW,Chelsea,24,£ 170000 (€ 195693 $214507),£ 8840000 (€ 10176024 $11154349),Unverified estimation,129af0db
17,Juan Mata,es ESP,MFFW,Manchester Utd,29,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,29733c72
18,Wayne Rooney,eng ENG,,Manchester Utd,31,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,f07be45a
19,David Silva,es ESP,MF,Manchester City,31,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,e2716bd0
20,Sergio Agüero,ar ARG,FW,Manchester City,29,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,4d034881
21,N'Golo Kanté,fr FRA,MF,Chelsea,26,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,b9fbae28
22,Raheem Sterling,eng ENG,FWMF,Manchester City,22,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,b400bde0
23,Vincent Kompany,be BEL,DF,Manchester City,31,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,d2bff301
24,James Milner,eng ENG,MF,Liverpool,31,£ 140000 (€ 161159 $176653),£ 7280000 (€ 8380255 $9185935),Unverified estimation,2f90f6b8
25,Daniel Sturridge,eng ENG,FW,West Brom,27,£ 130000 (€ 149647 $164035),£ 6760000 (€ 7781665 $8529796),Unverified estimation,1b7ec703
26,Danny Welbeck,eng ENG,MFFW,Arsenal,26,£ 125000 (€ 143892 $157726),£ 6500000 (€ 7482370 $8201727),Unverified estimation,ce5143da
27,Zlatan Ibrahimović,se SWE,MF,Manchester Utd,35,£ 125000 (€ 143892 $157726),£ 6500000 (€ 7482370 $8201727),Unverified estimation,4cde5509
28,David Luiz,br BRA,DFMF,Chelsea,30,£ 124808 (€ 143670 $157483),£ 6490000 (€ 7470859 $8189109),Unverified estimation,c0e27d1a
29,Aaron Ramsey,wls WAL,MF,Arsenal,26,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,ef619b0b
30,Alex Oxlade-Chamberlain,eng ENG,MF,Arsenal,23,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,38c7feef
31,Theo Walcott,eng ENG,FWMF,Arsenal,28,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,1ecb65be
32,Ashley Young,eng ENG,DFMF,Manchester Utd,32,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,be927d03
33,Nemanja Matić,rs SRB,MF,Manchester Utd,28,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,eb7822d7
34,Christian Benteke,be BEL,FW,Crystal Palace,26,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,ab070c55
35,Mohamed Salah,eg EGY,FW,Liverpool,25,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,e342ad68
36,Willian,br BRA,MFFW,Chelsea,28,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,8b9ebd03
37,Morgan Schneiderlin,fr FRA,MF,Everton,27,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,51b41c5c
38,Joe Hart,eng ENG,GK,West Ham,30,£ 115885 (€ 133399 $146224),£ 6026000 (€ 6936733 $7603632),Unverified estimation,cb4f24c6
39,Ander Herrera,es ESP,MF,Manchester Utd,27,£ 115000 (€ 132380 $145107),£ 5980000 (€ 6883781 $7545589),Unverified estimation,436a9dd0
40,Claudio Bravo,cl CHI,GK,Manchester City,34,£ 115000 (€ 132380 $145107),£ 5980000 (€ 6883781 $7545589),Unverified estimation,10072610
41,Héctor Bellerín,es ESP,MFDF,Arsenal,22,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,f874dd44
42,Olivier Giroud,fr FRA,FW,Arsenal,30,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,16ceb862
43,Petr Čech,cz CZE,GK,Arsenal,35,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,71672fa0
44,Anthony Martial,fr FRA,MFFW,Manchester Utd,21,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,8b788c01
45,Luke Shaw,eng ENG,DF,Manchester Utd,22,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,9c94165b
46,Marcos Rojo,ar ARG,DF,Manchester Utd,27,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,e0991c04
47,Adam Lallana,eng ENG,MF,Liverpool,29,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,99813635
48,Kyle Walker,eng ENG,DF,Manchester City,27,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,86dd77d1
49,Santi Cazorla,es ESP,,Arsenal,32,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,e2e9c250
50,Sead Kolašinac,ba BIH,MFDF,Arsenal,24,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,3935e52e
51,Harry Kane,eng ENG,FW,Tottenham,24,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,21a66f6a
52,Hugo Lloris,fr FRA,GK,Tottenham,30,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,8f62b6ee
53,Mamadou Sakho,fr FRA,DF,Crystal Palace,27,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,87935cf3
54,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,24,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,b2bc3b1f
55,Marko Arnautović,at AUT,FWMF,West Ham,28,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,00459419
56,Dejan Lovren,hr CRO,DF,Liverpool,28,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,1a2935f6
57,Jordan Henderson,eng ENG,MF,Liverpool,27,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,935e6b8f
58,Roberto Firmino,br BRA,FW,Liverpool,25,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,4c370d81
