Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
37,Kai Havertz,de GER,MFFW,Chelsea,21,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810),,fed7cb61
38,İlkay Gündoğan,de GER,MF,Manchester City,29,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810),,819b3158
39,Willian,br BRA,MFFW,Arsenal,31,£ 138462 (€ 165124 $168261),£ 7200000 (€ 8586466 $8749593),,8b9ebd03
40,Wilfried Zaha,ci CIV,FW,Crystal Palace,27,£ 130000 (€ 155033 $157979),£ 6760000 (€ 8061737 $8214895),,b2bc3b1f
41,Kasper Schmeichel,dk DEN,GK,Leicester City,33,£ 130000 (€ 155033 $157979),£ 6760000 (€ 8061737 $8214895),,53af52f3
42,Odion Ighalo,ng NGA,FW,Manchester Utd,31,£ 125000 (€ 149071 $151903),£ 6500000 (€ 7751671 $7898938),,03622183
43,Max Meyer,de GER,FWMF,Crystal Palace,24,£ 125000 (€ 149071 $151903),£ 6500000 (€ 7751671 $7898938),,eba42d2b
44,Rodri,es ESP,MF,Manchester City,24,£ 121154 (€ 144484 $147229),£ 6300000 (€ 7513158 $7655894),,6434f10d
45,Donny van de Beek,nl NED,MF,Manchester Utd,23,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980),,50dc94ce
46,Fred,br BRA,MF,Manchester Utd,27,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980),,b853e0ad
47,Nemanja Matić,rs SRB,MF,Manchester Utd,31,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980),,eb7822d7
48,Victor Lindelöf,se SWE,DF,Manchester Utd,26,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980),,f5deef4c
49,Christian Benteke,be BEL,FW,Crystal Palace,29,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980),,ab070c55
50,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,26,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980),,38c7feef
51,Naby Keïta,gn GUI,MF,Liverpool,25,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980),,f25c8e3a
52,Bernard,br BRA,MFFW,Everton,27,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980),,ab4b3e35
53,Yerry Mina,co COL,DF,Everton,25,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980),,6d5701f2
54,Aymeric Laporte,es ESP,DF,Manchester City,26,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980),,119b9a8e
55,Riyad Mahrez,dz ALG,FWMF,Manchester City,29,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980),,892d5bb1
56,Andriy Yarmolenko,ua UKR,MF,West Ham,30,£ 115000 (€ 137145 $139750),£ 5980000 (€ 7131537 $7267023),,849c826a
57,André Gomes,pt POR,MF,Everton,27,£ 112308 (€ 133934 $136479),£ 5840000 (€ 6964578 $7096892),,1961b2aa
58,Andriy Yarmolenko,ua UKR,MF,West Ham,30,£ 115000 (€ 132380 $145107),£ 5980000 (€ 6883781 $7545589),Unverified estimation,849c826a
59,Héctor Bellerín,es ESP,DFMF,Arsenal,25,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065),,f874dd44
60,Kieran Tierney,sct SCO,DF,Arsenal,23,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065),,fce2302c
61,James Maddison,eng ENG,MF,Leicester City,23,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065),,ee38d9c5
62,Jorginho,it ITA,MF,Chelsea,28,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065),,45db685d
63,Olivier Giroud,fr FRA,FW,Chelsea,33,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065),,16ceb862
64,Thiago Silva,br BRA,DF,Chelsea,35,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065),,86e7deaf
65,Kyle Walker,eng ENG,DF,Manchester City,30,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065),,86dd77d1
66,Jack Grealish,eng ENG,MFFW,Aston Villa,24,£ 105000 (€ 125219 $127598),£ 5460000 (€ 6511403 $6635108),,b0b4fd3e
67,Pierre Højbjerg,dk DEN,MF,Tottenham,24,£ 101923 (€ 121550 $123859),£ 5300000 (€ 6320593 $6440672),,8b04d6c1
68,David Luiz,br BRA,DF,Arsenal,33,£ 100962 (€ 120403 $122691),£ 5250000 (€ 6260965 $6379911),,c0e27d1a
69,Bernd Leno,de GER,GK,Arsenal,28,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,2628fd2b
70,Granit Xhaka,ch SUI,MFDF,Arsenal,27,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,e61b8aee
71,Nicolas Pépé,ci CIV,MFFW,Arsenal,25,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,57e3f0c7
72,Sead Kolašinac,ba BIH,DF,Arsenal,27,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,3935e52e
73,Dean Henderson,eng ENG,GK,Manchester Utd,23,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,e5a76dfe
74,Dele Alli,eng ENG,MF,Tottenham,24,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,cea4ee8f
75,Hugo Lloris,fr FRA,GK,Tottenham,33,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,8f62b6ee
76,Mamadou Sakho,fr FRA,DF,Crystal Palace,30,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,87935cf3
77,Fabinho,br BRA,DFMF,Liverpool,26,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,7f3b388c
78,Joël Matip,cm CMR,DF,Liverpool,28,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,b217ef29
79,Sadio Mané,sn SEN,FW,Liverpool,28,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,c691bfe2
80,João Moutinho,pt POR,MF,Wolves,33,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,f5a00fa4
81,Rui Patrício,pt POR,GK,Wolves,32,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,79b0d6a0
82,Antonio Rüdiger,de GER,DF,Chelsea,27,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,18b896d6
83,Danny Drinkwater,eng ENG,CM,Chelsea,30,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,2649ff32
84,Hakim Ziyech,ma MAR,FWMF,Chelsea,27,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,6622454d
85,Marcos Alonso,es ESP,MFDF,Chelsea,29,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,f4290206
86,Mateo Kovačić,hr CRO,MF,Chelsea,26,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,79c0821a
87,Reece James,eng ENG,DFMF,Chelsea,20,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,1265a93a
88,Gylfi Sigurðsson,is ISL,MFFW,Everton,30,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,76dd1480
89,Jordan Pickford,eng ENG,GK,Everton,26,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,4806ec67
90,John Stones,eng ENG,DF,Manchester City,26,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150),,5eecec3d
91,Jarrod Bowen,eng ENG,MFFW,West Ham,23,£ 96154 (€ 114670 $116848),£ 5000000 (€ 5962824 $6076106),,79c84d1c
92,Ross Barkley,eng ENG,MF,Aston Villa,26,£ 96154 (€ 114670 $116848),£ 5000000 (€ 5962824 $6076106),,3a24769f
93,Alex Telles,br BRA,DF,Manchester Utd,27,£ 93077 (€ 111000 $113109),£ 4840000 (€ 5772013 $5881671),,e73c9bb2
94,Nathan Aké,nl NED,DF,Manchester City,25,£ 92308 (€ 110083 $112174),£ 4800000 (€ 5724311 $5833062),,eaeca114
95,Sokratis Papastathopoulos,gr GRE,CB,Arsenal,32,£ 91923 (€ 109624 $111707),£ 4780000 (€ 5700459 $5808757),,b682dcf6
96,Adam Lallana,eng ENG,MFFW,Brighton,32,£ 90385 (€ 107790 $109837),£ 4700000 (€ 5605054 $5711540),,99813635
97,Gabriel Martinelli,br BRA,MFFW,Arsenal,19,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235),,48a5a5d6
98,Shkodran Mustafi,de GER,DF,Arsenal,28,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235),,3f2d59fe
99,Aaron Wan-Bissaka,cd COD,DF,Manchester Utd,22,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235),,9e525177
100,Michy Batshuayi,be BEL,FW,Crystal Palace,26,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235),,2973d8ff
101,Alisson,br BRA,GK,Liverpool,27,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235),,7a2e46a8
102,Diogo Jota,pt POR,FWMF,Liverpool,23,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235),,178ae8f8
103,Leander Dendoncker,be BEL,MFDF,Wolves,25,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235),,5a7301ae
104,James Rodríguez,co COL,FWMF,Everton,29,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235),,715bf047
105,Lucas Digne,fr FRA,DFMF,Everton,27,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235),,1b84dbe1
106,Richarlison,br BRA,FWMF,Everton,23,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235),,fa031b34
107,Benjamin Mendy,fr FRA,DFMF,Manchester City,26,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235),,5271c8f1
108,Gabriel Jesus,br BRA,FW,Manchester City,23,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235),,b66315ae
109,Mason Mount,eng ENG,MF,Chelsea,21,£ 88462 (€ 105496 $107500),£ 4600000 (€ 5485798 $5590018),,9674002f
110,Abdul Rahman Baba,gh GHA,LB,Chelsea,26,£ 86000 (€ 102561 $104509),£ 4472000 (€ 5333149 $5434469),,e4086af3
111,Pablo Marí,es ESP,DF,Arsenal,26,£ 85000 (€ 101368 $103294),£ 4420000 (€ 5271136 $5371278),,aa54ec6f
112,Diego Llorente,es ESP,DF,Leeds United,26,£ 81000 (€ 96598 $98433),£ 4212000 (€ 5023083 $5118512),Unverified estimation,bba30585
113,Eric Bailly,ci CIV,DF,Manchester Utd,26,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,a1232f4e
114,Marcos Rojo,ar ARG,CB,Manchester Utd,30,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,e0991c04
115,Érik Lamela,ar ARG,MFFW,Tottenham,28,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,abe66106
116,Lucas Moura,br BRA,MFFW,Tottenham,27,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,2b622f01
117,Moussa Sissoko,fr FRA,MF,Tottenham,30,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,2acd49b9
118,Toby Alderweireld,be BEL,DF,Tottenham,31,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,f7d50789
119,Xherdan Shaqiri,ch SUI,MFFW,Liverpool,28,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,6421ec64
120,Fábio Silva,pt POR,FW,Wolves,18,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,e7aa9d7c
121,Islam Slimani,dz ALG,FW,Leicester City,32,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,ffec9769
122,Jonny Evans,nir NIR,DF,Leicester City,32,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,f8fcd2a5
123,Joelinton,br BRA,FWMF,Newcastle,23,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,c17bfb65
124,Andreas Christensen,dk DEN,DF,Chelsea,24,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,1cb49278
125,Allan,br BRA,MF,Everton,29,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),Unverified estimation,cc700722
126,Fabian Delph,eng ENG,MF,Everton,30,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,111c3236
127,João Cancelo,pt POR,DFMF,Manchester City,26,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320),,bd6351cd
128,Bertrand Traoré,bf BFA,MFFW,Aston Villa,24,£ 77885 (€ 92882 $94647),£ 4050000 (€ 4829887 $4921646),,c47541e0
129,Cengiz Ünder,tr TUR,MF,Leicester City,23,£ 77500 (€ 92424 $94180),£ 4030000 (€ 4806036 $4897341),,1880614f
130,Islam Slimani,dz ALG,FW,Leicester City,32,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,ffec9769
131,Vicente Guaita,es ESP,GK,Crystal Palace,33,£ 76923 (€ 91736 $93479),£ 4000000 (€ 4770259 $4860885),,ab13a5aa
132,Nélson Semedo,pt POR,MFDF,Wolves,26,£ 76923 (€ 91736 $93479),£ 4000000 (€ 4770259 $4860885),,d04b94db
133,Ben Godfrey,eng ENG,DF,Everton,22,£ 76923 (€ 91736 $93479),£ 4000000 (€ 4770259 $4860885),,9f7c837d
134,Cédric Soares,pt POR,DF,Arsenal,28,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,839c14e1
135,Jesse Lingard,eng ENG,FWMF,Manchester Utd,27,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,810e3c74
136,Phil Jones,eng ENG,CB,Manchester Utd,28,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,def899bd
137,Danny Ings,eng ENG,FW,Southampton,28,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,07802f7f
138,Takumi Minamino,jp JPN,MFFW,Southampton,25,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,f833a830
139,Theo Walcott,eng ENG,MFFW,Southampton,31,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,1ecb65be
140,Steven Bergwijn,nl NED,MFFW,Tottenham,22,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,a29b1131
141,Sébastien Haller,ci CIV,FW,West Ham,26,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,ba115a40
142,Georginio Wijnaldum,nl NED,MF,Liverpool,29,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,eb58eef0
143,Ollie Watkins,eng ENG,FW,Aston Villa,24,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,aed3a70f
144,Dennis Praet,be BEL,MF,Leicester City,26,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,86695068
145,Wilfred Ndidi,ng NGA,MFDF,Leicester City,23,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,6b47c5db
146,Andy Carroll,eng ENG,FW,Newcastle,31,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,b581987a
147,Emerson Palmieri,it ITA,DFMF,Chelsea,25,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,e0bc6fdc
148,Abdoulaye Doucouré,ml MLI,MF,Everton,27,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,02b29014
149,Jean-Philippe Gbamin,ci CIV,DFMF,Everton,24,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,6bd603db
150,Yannick Bolasie,cd COD,LW,Everton,31,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363),,715fc0fe
151,Rúben Dias,pt POR,DF,Manchester City,23,£ 72500 (€ 86461 $88104),£ 3770000 (€ 4495969 $4581384),,31c69ef1
152,Sergio Romero,ar ARG,GK,Manchester Utd,33,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405),,1e26e376
153,Fraser Forster,eng ENG,GK,Southampton,32,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405),,c3e39f12
154,Ryan Bertrand,eng ENG,DF,Southampton,30,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405),,01226327
155,Giovani Lo Celso,ar ARG,MF,Tottenham,24,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405),,d7553721
156,Serge Aurier,ci CIV,DFMF,Tottenham,27,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405),,5c2b4f07
157,Charlie Austin,eng ENG,FW,West Brom,31,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405),,8d228291
158,Angelo Ogbonna,it ITA,DF,West Ham,32,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405),,74b2cd7e
159,Manuel Lanzini,ar ARG,MF,West Ham,27,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405),,26f6dca8
160,Michail Antonio,jm JAM,FW,West Ham,30,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405),,ac05f970
161,Ricardo Pereira,pt POR,MFDF,Leicester City,26,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405),,75a72a99
162,Jonjo Shelvey,eng ENG,MF,Newcastle,28,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405),,3727dd3c
163,Séamus Coleman,ie IRL,DFMF,Everton,31,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405),,0420d84f
164,Martin Ødegaard,no NOR,MF,Arsenal,21,£ 69423 (€ 82792 $84364),£ 3610000 (€ 4305159 $4386949),Unverified estimation,79300479
165,Pablo Fornals,es ESP,MF,West Ham,24,£ 67308 (€ 80269 $81794),£ 3500000 (€ 4173976 $4253274),,82927de4
166,Tomáš Souček,cz CZE,MF,West Ham,25,£ 67308 (€ 80269 $81794),£ 3500000 (€ 4173976 $4253274),,6613c819
167,Frank Anguissa,cm CMR,MF,Fulham,24,£ 67000 (€ 79902 $81420),£ 3484000 (€ 4154895 $4233831),,6bb2c084
168,Issa Diop,ma MAR,DF,West Ham,23,£ 66923 (€ 79810 $81326),£ 3480000 (€ 4150125 $4228970),,a712ca2b
169,Branislav Ivanović,rs SRB,DF,West Brom,36,£ 66500 (€ 79306 $80812),£ 3458000 (€ 4123889 $4202235),Unverified estimation,85f8571a
170,Matt Doherty,ie IRL,DFMF,Tottenham,28,£ 65385 (€ 77975 $79457),£ 3400000 (€ 4054720 $4131752),,d557d734
171,Brandon Williams,eng ENG,DF,Manchester Utd,19,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,5e74d6c8
172,Oriol Romeu,es ESP,MF,Southampton,28,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,4b511457
173,Davinson Sánchez,co COL,DF,Tottenham,24,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,da7b447d
174,Cheikhou Kouyaté,sn SEN,DF,Crystal Palace,30,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,8d3c902d
175,Gary Cahill,eng ENG,DF,Crystal Palace,34,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,7914b9fe
176,Łukasz Fabiański,pl POL,GK,West Ham,35,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,9328b835
177,Ozan Kabak,tr TUR,DF,Liverpool,20,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,2d61d13a
178,Matty Cash,pl POL,DF,Aston Villa,22,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,2389cdc2
179,Tyrone Mings,eng ENG,DF,Aston Villa,27,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,8397a50c
180,Allan Saint-Maximin,fr FRA,FWMF,Newcastle,23,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,2b16cb1a
181,Édouard Mendy,sn SEN,GK,Chelsea,28,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,33887998
182,Michael Keane,eng ENG,DF,Everton,27,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,c5b7c315
183,Jean Seri,ci CIV,CM,Fulham,29,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,10efd0e1
184,Ederson Moraes,br BRA,GK,Manchester City,26,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448),,3bb7b8b4
185,Nathaniel Phillips,eng ENG,DF,Liverpool,23,£ 64615 (€ 77058 $78522),£ 3360000 (€ 4007017 $4083143),,515ebe8d
186,Raphinha,br BRA,MF,Leeds United,23,£ 63500 (€ 75728 $77167),£ 3302000 (€ 3937849 $4012660),,3423f250
187,Timothy Castagne,be BEL,DFMF,Leicester City,24,£ 63000 (€ 75132 $76559),£ 3276000 (€ 3906842 $3981065),,197640fd
188,Scott McTominay,sct SCO,MF,Manchester Utd,23,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490),,d93c2511
189,Jannik Vestergaard,dk DEN,DF,Southampton,27,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490),,1900032e
190,Nathan Redmond,eng ENG,MFFW,Southampton,26,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490),,ab651565
191,Shane Long,ie IRL,FW,Southampton,33,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490),,9f472354
