Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Gareth Bale,wls WAL,MF,Tottenham,31,£ 600000 (€ 715539 $729133),£ 31200000 (€ 37208019 $37914901),,a58bb1e1
2,Kevin De Bruyne,be BEL,MF,Manchester City,29,£ 400000 (€ 477026 $486088),£ 20800000 (€ 24805346 $25276601),,e46012d4
3,David de Gea,es ESP,GK,Manchester Utd,29,£ 375000 (€ 447212 $455708),£ 19500000 (€ 23255012 $23696813),,7ba6d84e
4,Mesut Özil,de GER,AM,Arsenal,32,£ 350000 (€ 417398 $425327),£ 18200000 (€ 21704678 $22117026),,16380240
5,Raheem Sterling,eng ENG,FWMF,Manchester City,25,£ 300000 (€ 357769 $364566),£ 15600000 (€ 18604009 $18957451),,b400bde0
6,Paul Pogba,fr FRA,MF,Manchester Utd,27,£ 290000 (€ 345844 $352414),£ 15080000 (€ 17983876 $18325536),,867239d3
7,Pierre-Emerick Aubameyang,ga GAB,FWMF,Arsenal,31,£ 250000 (€ 298141 $303805),£ 13000000 (€ 15503341 $15797876),,d5dd5f1f
8,Anthony Martial,fr FRA,FWMF,Manchester Utd,24,£ 250000 (€ 298141 $303805),£ 13000000 (€ 15503341 $15797876),,8b788c01
9,Sergio Agüero,ar ARG,FWMF,Manchester City,32,£ 230192 (€ 274519 $279735),£ 11970000 (€ 14274999 $14546198),,4d034881
10,Thomas Partey,gh GHA,MF,Arsenal,27,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),,529f49ab
11,Marcus Rashford,eng ENG,MFFW,Manchester Utd,22,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),,a1d5bd30
12,Harry Kane,eng ENG,FW,Tottenham,27,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),,21a66f6a
13,Tanguy Ndombele,fr FRA,MF,Tottenham,23,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),,5cdddffa
14,Mohamed Salah,eg EGY,FW,Liverpool,28,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),,e342ad68
15,Thiago Alcántara,es ESP,MF,Liverpool,29,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),,77e84962
16,Harry Maguire,eng ENG,DF,Manchester Utd,27,£ 190000 (€ 226587 $230892),£ 9880000 (€ 11782539 $12006385),,d8931174
17,Ben Chilwell,eng ENG,DFMF,Chelsea,23,£ 190000 (€ 226587 $230892),£ 9880000 (€ 11782539 $12006385),,d2424d1b
18,Alexandre Lacazette,fr FRA,FW,Arsenal,29,£ 182115 (€ 217184 $221310),£ 9470000 (€ 11293588 $11508145),,9dbb75ca
19,Bruno Fernandes,pt POR,MF,Manchester Utd,25,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),,507c7bdf
20,Roberto Firmino,br BRA,FW,Liverpool,28,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),,4c370d81
21,Virgil van Dijk,nl NED,DF,Liverpool,29,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),,e06683ca
22,Callum Hudson-Odoi,eng ENG,MFFW,Chelsea,19,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),,15f3ec41
23,Edinson Cavani,uy URU,FW,Manchester Utd,33,£ 173077 (€ 206405 $210327),£ 9000000 (€ 10733082 $10936991),,527f063d
24,Timo Werner,de GER,FWMF,Chelsea,24,£ 170000 (€ 202736 $206588),£ 8840000 (€ 10542272 $10742555),,49fe9070
25,Juan Mata,es ESP,MF,Manchester Utd,32,£ 160000 (€ 190810 $194435),£ 8320000 (€ 9922138 $10110640),,29733c72
26,Christian Pulisic,us USA,MFFW,Chelsea,21,£ 158654 (€ 189205 $192800),£ 8250000 (€ 9838659 $10025575),,1bf33a9a
27,Luke Shaw,eng ENG,DF,Manchester Utd,25,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725),,9c94165b
28,César Azpilicueta,es ESP,DFMF,Chelsea,30,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725),,53cad200
29,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725),,28d596a0
30,Bernardo Silva,pt POR,MFFW,Manchester City,25,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725),,3eb22ec9
31,Fernandinho,br BRA,MF,Manchester City,35,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725),,101da2b5
32,N'Golo Kanté,fr FRA,MF,Chelsea,29,£ 144231 (€ 172005 $175272),£ 7500000 (€ 8944235 $9114159),,b9fbae28
33,Son Heung-min,kr KOR,MFFW,Tottenham,28,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810),,92e7e919
34,James Milner,eng ENG,MF,Liverpool,34,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810),,2f90f6b8
35,Jordan Henderson,eng ENG,MFDF,Liverpool,30,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810),,935e6b8f
36,Jamie Vardy,eng ENG,FW,Leicester City,33,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810),,45963054
