Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Kevin De Bruyne,be BEL,MF,Manchester City,32,£ 400000 (€ 473475 $508815),£ 20800000 (€ 24620675 $26458401),,e46012d4
2,Erling Haaland,no NOR,FWMF,Manchester City,23,£ 375000 (€ 443882 $477014),£ 19500000 (€ 23081883 $24804751),,1f44ac21
3,Casemiro,br BRA,MFDF,Manchester Utd,31,£ 350000 (€ 414290 $445213),£ 18200000 (€ 21543091 $23151101),,4d224fe8
4,Mohamed Salah,eg EGY,FW,Liverpool,31,£ 350000 (€ 414290 $445213),£ 18200000 (€ 21543091 $23151101),,e342ad68
5,Raphaël Varane,fr FRA,DF,Manchester Utd,30,£ 340000 (€ 402453 $432493),£ 17680000 (€ 20927574 $22489641),,9f8e9423
6,Raheem Sterling,eng ENG,MF,Chelsea,28,£ 325000 (€ 384698 $413413),£ 16900000 (€ 20004298 $21497451),,b400bde0
7,Marcus Rashford,eng ENG,MFFW,Manchester Utd,25,£ 300000 (€ 355106 $381612),£ 15600000 (€ 18465506 $19843801),,a1d5bd30
8,Bernardo Silva,pt POR,MF,Manchester City,28,£ 300000 (€ 355106 $381612),£ 15600000 (€ 18465506 $19843801),,3eb22ec9
9,Jack Grealish,eng ENG,MFFW,Manchester City,27,£ 300000 (€ 355106 $381612),£ 15600000 (€ 18465506 $19843801),,b0b4fd3e
10,Kai Havertz,de GER,MFFW,Arsenal,24,£ 280000 (€ 331432 $356171),£ 14560000 (€ 17234473 $18520881),,fed7cb61
11,Gabriel Jesus,br BRA,FW,Arsenal,26,£ 265000 (€ 313677 $337090),£ 13780000 (€ 16311197 $17528691),,b66315ae
12,Anthony Martial,fr FRA,FW,Manchester Utd,27,£ 250000 (€ 295922 $318010),£ 13000000 (€ 15387922 $16536501),,8b788c01
13,Jadon Sancho,eng ENG,FWMF,Manchester Utd,23,£ 250000 (€ 295922 $318010),£ 13000000 (€ 15387922 $16536501),,dbf053da
14,Mason Mount,eng ENG,MF,Manchester Utd,24,£ 250000 (€ 295922 $318010),£ 13000000 (€ 15387922 $16536501),,9674002f
15,Reece James,eng ENG,DFMF,Chelsea,23,£ 250000 (€ 295922 $318010),£ 13000000 (€ 15387922 $16536501),,1265a93a
16,John Stones,eng ENG,DF,Manchester City,29,£ 250000 (€ 295922 $318010),£ 13000000 (€ 15387922 $16536501),,5eecec3d
17,Declan Rice,eng ENG,MF,Arsenal,24,£ 240000 (€ 284085 $305289),£ 12480000 (€ 14772405 $15875040),,1c7012b8
18,Martin Ødegaard,no NOR,MF,Arsenal,24,£ 240000 (€ 284085 $305289),£ 12480000 (€ 14772405 $15875040),,79300479
