Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Erling Haaland,no NOR,FW,Manchester City,26,£ 525000 (€ 614698 $708414),£ 27300000 (€ 31964283 $36837524),,1f44ac21
2,Virgil van Dijk,nl NED,DF,Liverpool,35,£ 350000 (€ 409799 $472276),£ 18200000 (€ 21309522 $24558349),,e06683ca
3,Bukayo Saka,eng ENG,MF,Arsenal,24,£ 300000 (€ 351256 $404808),£ 15600000 (€ 18265304 $21050014),,bc7dc64d
4,Bruno Fernandes,pt POR,MF,Manchester Utd,31,£ 300000 (€ 351256 $404808),£ 15600000 (€ 18265304 $21050014),,507c7bdf
5,Marcus Rashford,eng ENG,FWMF,Manchester Utd,28,£ 300000 (€ 351256 $404808),£ 15600000 (€ 18265304 $21050014),,a1d5bd30
6,Jack Grealish,eng ENG,FWMF,Manchester City,30,£ 300000 (€ 351256 $404808),£ 15600000 (€ 18265304 $21050014),,b0b4fd3e
7,Omar Marmoush,eg EGY,FWMF,Manchester City,27,£ 295000 (€ 345402 $398061),£ 15340000 (€ 17960883 $20699180),,0e0102eb
8,Kai Havertz,de GER,FW,Arsenal,27,£ 280000 (€ 327839 $377821),£ 14560000 (€ 17047617 $19646679),,fed7cb61
9,Alexander Isak,se SWE,FW,Liverpool,26,£ 280000 (€ 327839 $377821),£ 14560000 (€ 17047617 $19646679),,8e92be30
10,Ryan Gravenberch,nl NED,MF,Liverpool,24,£ 280000 (€ 327839 $377821),£ 14560000 (€ 17047617 $19646679),Unverified estimation,b8e740fb
11,Phil Foden,eng ENG,MF,Manchester City,26,£ 280000 (€ 327839 $377821),£ 14560000 (€ 17047617 $19646679),Unverified estimation,ed1e53f3
12,Gabriel Jesus,br BRA,CF,Arsenal,29,£ 265000 (€ 310276 $357580),£ 13780000 (€ 16134352 $18594179),,b66315ae
13,Gianluigi Donnarumma,it ITA,GK,Manchester City,27,£ 265000 (€ 310276 $357580),£ 13780000 (€ 16134352 $18594179),,08f5afaa
14,William Saliba,fr FRA,CB,Arsenal,25,£ 250000 (€ 292713 $337340),£ 13000000 (€ 15221087 $17541678),,972aeb2a
15,Cody Gakpo,nl NED,MF,Liverpool,27,£ 250000 (€ 292713 $337340),£ 13000000 (€ 15221087 $17541678),Unverified estimation,1971591f
16,Dominik Szoboszlai,hu HUN,MF,Liverpool,25,£ 250000 (€ 292713 $337340),£ 13000000 (€ 15221087 $17541678),Unverified estimation,934e1968
17,Elliot Anderson,eng ENG,MF,Manchester City,23,£ 250000 (€ 292713 $337340),£ 13000000 (€ 15221087 $17541678),,de31038e
18,Joško Gvardiol,hr CRO,DF,Manchester City,24,£ 250000 (€ 292713 $337340),£ 13000000 (€ 15221087 $17541678),Unverified estimation,5ad50391
19,Marc Guéhi,eng ENG,MF,Manchester City,26,£ 250000 (€ 292713 $337340),£ 13000000 (€ 15221087 $17541678),,d0706b27
20,Rúben Dias,pt POR,DF,Manchester City,29,£ 250000 (€ 292713 $337340),£ 13000000 (€ 15221087 $17541678),Unverified estimation,31c69ef1
21,Declan Rice,eng ENG,MF,Arsenal,27,£ 240000 (€ 281005 $323846),£ 12480000 (€ 14612244 $16840011),,1c7012b8
22,Martin Ødegaard,no NOR,MF,Arsenal,27,£ 240000 (€ 281005 $323846),£ 12480000 (€ 14612244 $16840011),,79300479
23,Ronald Araújo,uy URU,DF,Liverpool,27,£ 205000 (€ 240025 $276619),£ 10660000 (€ 12481291 $14384176),,2bef2bca
24,Viktor Gyökeres,se SWE,FWMF,Arsenal,28,£ 200000 (€ 234171 $269872),£ 10400000 (€ 12176870 $14033342),Unverified estimation,4d5a9185
25,Benjamin Šeško,si SVN,FW,Manchester Utd,23,£ 200000 (€ 234171 $269872),£ 10400000 (€ 12176870 $14033342),,3260690c
26,Sandro Tonali,it ITA,MF,Tottenham,26,£ 200000 (€ 234171 $269872),£ 10400000 (€ 12176870 $14033342),,0db169ae
27,Florian Wirtz,de GER,MF,Liverpool,23,£ 200000 (€ 234171 $269872),£ 10400000 (€ 12176870 $14033342),,e7fcf289
28,Hugo Ekitike,fr FRA,CF,Liverpool,24,£ 200000 (€ 234171 $269872),£ 10400000 (€ 12176870 $14033342),,5b92d896
29,Reece James,eng ENG,RB,Chelsea,26,£ 200000 (€ 234171 $269872),£ 10400000 (€ 12176870 $14033342),Unverified estimation,1265a93a
30,Wesley Fofana,fr FRA,CB,Chelsea,25,£ 200000 (€ 234171 $269872),£ 10400000 (€ 12176870 $14033342),,132a82f1
31,Matthijs de Ligt,nl NED,CB,Manchester Utd,26,£ 195000 (€ 228316 $263125),£ 10140000 (€ 11872448 $13682509),,d6e53a3a
