Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,David de Gea,es ESP,GK,Manchester Utd,28,£ 375000 (€ 447212 $455708),£ 19500000 (€ 23255012 $23696813),Unverified estimation,7ba6d84e
2,Mesut Özil,de GER,MF,Arsenal,30,£ 350000 (€ 417398 $425327),£ 18200000 (€ 21704678 $22117026),Unverified estimation,16380240
3,Kevin De Bruyne,be BEL,MF,Manchester City,28,£ 350000 (€ 417398 $425327),£ 18200000 (€ 21704678 $22117026),,e46012d4
4,Paul Pogba,fr FRA,MF,Manchester Utd,26,£ 290000 (€ 345844 $352414),£ 15080000 (€ 17983876 $18325536),Unverified estimation,867239d3
5,Anthony Martial,fr FRA,FW,Manchester Utd,23,£ 250000 (€ 298141 $303805),£ 13000000 (€ 15503341 $15797876),Unverified estimation,8b788c01
6,Sergio Agüero,ar ARG,FW,Manchester City,31,£ 230192 (€ 274519 $279735),£ 11970000 (€ 14274999 $14546198),Unverified estimation,4d034881
7,Marcus Rashford,eng ENG,MFFW,Manchester Utd,21,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),Unverified estimation,a1d5bd30
8,Harry Kane,eng ENG,FW,Tottenham,26,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),Unverified estimation,21a66f6a
9,Tanguy Ndombele,fr FRA,MF,Tottenham,22,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),Unverified estimation,5cdddffa
10,Riyad Mahrez,dz ALG,FWMF,Manchester City,28,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),Unverified estimation,892d5bb1
11,Mohamed Salah,eg EGY,FW,Liverpool,27,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),Unverified estimation,e342ad68
12,Harry Maguire,eng ENG,DF,Manchester Utd,26,£ 190000 (€ 226587 $230892),£ 9880000 (€ 11782539 $12006385),Unverified estimation,d8931174
13,Alexandre Lacazette,fr FRA,FW,Arsenal,28,£ 182115 (€ 217184 $221310),£ 9470000 (€ 11293588 $11508145),Unverified estimation,9dbb75ca
14,Pierre-Emerick Aubameyang,ga GAB,FWMF,Arsenal,30,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),Unverified estimation,d5dd5f1f
15,Bruno Fernandes,pt POR,MF,Manchester Utd,24,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),,507c7bdf
16,Fernandinho,br BRA,DF,Manchester City,34,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),Unverified estimation,101da2b5
17,Nicolás Otamendi,ar ARG,DF,Manchester City,31,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),Unverified estimation,0d267745
18,Callum Hudson-Odoi,eng ENG,MFFW,Chelsea,18,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),Unverified estimation,15f3ec41
19,Roberto Firmino,br BRA,FW,Liverpool,27,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),Unverified estimation,4c370d81
20,Virgil van Dijk,nl NED,DF,Liverpool,28,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),Unverified estimation,e06683ca
21,Juan Mata,es ESP,MF,Manchester Utd,31,£ 160000 (€ 190810 $194435),£ 8320000 (€ 9922138 $10110640),Unverified estimation,29733c72
22,David Silva,es ESP,MF,Manchester City,33,£ 160000 (€ 190810 $194435),£ 8320000 (€ 9922138 $10110640),Unverified estimation,e2716bd0
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,£ 152692 (€ 182095 $185555),£ 7940000 (€ 9468964 $9648856),Unverified estimation,28d596a0
24,Luke Shaw,eng ENG,DF,Manchester Utd,24,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725),Unverified estimation,9c94165b
25,Bernardo Silva,pt POR,FWMF,Manchester City,24,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725),Unverified estimation,3eb22ec9
26,Raheem Sterling,eng ENG,FWMF,Manchester City,24,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725),Unverified estimation,b400bde0
27,César Azpilicueta,es ESP,DFMF,Chelsea,29,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725),Unverified estimation,53cad200
28,Christian Pulisic,us USA,FWMF,Chelsea,20,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725),Unverified estimation,1bf33a9a
29,N'Golo Kanté,fr FRA,MF,Chelsea,28,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725),Unverified estimation,b9fbae28
30,Nicolas Pépé,ci CIV,MFFW,Arsenal,24,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810),Unverified estimation,57e3f0c7
