Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
20,Theo Walcott,eng ENG,MFFW,Arsenal,26,£ 140000 (€ 161159 $176653),£ 7280000 (€ 8380255 $9185935),Unverified estimation,1ecb65be
21,James Milner,eng ENG,MFFW,Liverpool,29,£ 140000 (€ 161159 $176653),£ 7280000 (€ 8380255 $9185935),Unverified estimation,2f90f6b8
22,Alexandre Song,cm CMR,MF,West Ham,27,£ 131423 (€ 151286 $165830),£ 6834000 (€ 7866849 $8623170),Unverified estimation,1c32281d
23,Daniel Sturridge,eng ENG,FW,Liverpool,25,£ 130000 (€ 149647 $164035),£ 6760000 (€ 7781665 $8529796),Unverified estimation,1b7ec703
24,Joe Hart,eng ENG,GK,Manchester City,28,£ 130000 (€ 149647 $164035),£ 6760000 (€ 7781665 $8529796),Unverified estimation,cb4f24c6
25,Ashley Young,eng ENG,DFMF,Manchester Utd,30,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,be927d03
26,Memphis,nl NED,MF,Manchester Utd,21,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,8f696594
27,Nicolás Otamendi,ar ARG,DF,Manchester City,27,£ 120000 (€ 138136 $151417),£ 6240000 (€ 7183076 $7873658),Unverified estimation,0d267745
28,Danny Welbeck,eng ENG,FW,Arsenal,24,£ 115000 (€ 132380 $145107),£ 5980000 (€ 6883781 $7545589),Unverified estimation,ce5143da
29,Ander Herrera,es ESP,MF,Manchester Utd,25,£ 115000 (€ 132380 $145107),£ 5980000 (€ 6883781 $7545589),Unverified estimation,436a9dd0
30,Aaron Ramsey,wls WAL,MF,Arsenal,24,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,ef619b0b
31,Anthony Martial,fr FRA,MFFW,Manchester Utd,19,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,8b788c01
32,Luke Shaw,eng ENG,DF,Manchester Utd,20,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,9c94165b
33,Marcos Rojo,ar ARG,DF,Manchester Utd,25,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,e0991c04
34,Philippe Coutinho,br BRA,MFFW,Liverpool,23,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,0ef89a37
35,Pablo Zabaleta,ar ARG,DF,Manchester City,30,£ 110000 (€ 126625 $138798),£ 5720000 (€ 6584486 $7217520),Unverified estimation,6813ac34
36,Petr Čech,cz CZE,GK,Arsenal,33,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,71672fa0
37,Michael Carrick,eng ENG,MF,Manchester Utd,34,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,ab7263c1
38,Morgan Schneiderlin,fr FRA,MF,Manchester Utd,25,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,51b41c5c
39,Christian Benteke,be BEL,FW,Liverpool,24,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,ab070c55
40,Roberto Firmino,br BRA,FWMF,Liverpool,23,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,4c370d81
41,Eliaquim Mangala,fr FRA,DF,Manchester City,24,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,f520049f
42,Fernandinho,br BRA,MF,Manchester City,30,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,101da2b5
43,Fernando,br BRA,MF,Manchester City,28,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,41f32541
44,Wilfried Bony,ci CIV,FW,Manchester City,26,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,61abe9b6
45,Thibaut Courtois,be BEL,GK,Chelsea,23,£ 100000 (€ 115113 $126180),£ 5200000 (€ 5985896 $6561382),Unverified estimation,1840e36d
46,Gaël Clichy,fr FRA,DF,Manchester City,30,£ 95000 (€ 109358 $119871),£ 4940000 (€ 5686601 $6233313),Unverified estimation,450ad405
47,Laurent Koscielny,fr FRA,DF,Arsenal,29,£ 90000 (€ 103602 $113562),£ 4680000 (€ 5387307 $5905244),Unverified estimation,f5efb153
48,Olivier Giroud,fr FRA,FW,Arsenal,28,£ 90000 (€ 103602 $113562),£ 4680000 (€ 5387307 $5905244),Unverified estimation,16ceb862
49,Per Mertesacker,de GER,DF,Arsenal,30,£ 90000 (€ 103602 $113562),£ 4680000 (€ 5387307 $5905244),Unverified estimation,5be28712
50,Santi Cazorla,es ESP,MF,Arsenal,30,£ 90000 (€ 103602 $113562),£ 4680000 (€ 5387307 $5905244),Unverified estimation,e2e9c250
51,Marouane Fellaini,be BEL,MF,Manchester Utd,27,£ 90000 (€ 103602 $113562),£ 4680000 (€ 5387307 $5905244),Unverified estimation,87575fd9
52,Willian,br BRA,MF,Chelsea,26,£ 90000 (€ 103602 $113562),£ 4680000 (€ 5387307 $5905244),Unverified estimation,8b9ebd03
53,Yohan Cabaye,fr FRA,MF,Crystal Palace,29,£ 85500 (€ 98422 $107884),£ 4446000 (€ 5117941 $5609981),Unverified estimation,ad7b19ef
54,Antonio Valencia,ec ECU,DF,Manchester Utd,29,£ 85000 (€ 97846 $107253),£ 4420000 (€ 5088012 $5577175),Unverified estimation,08aa17d0
55,Son Heung-min,kr KOR,MF,Tottenham,23,£ 85000 (€ 97846 $107253),£ 4420000 (€ 5088012 $5577175),Unverified estimation,92e7e919
56,Mamadou Sakho,fr FRA,DF,Liverpool,25,£ 85000 (€ 97846 $107253),£ 4420000 (€ 5088012 $5577175),Unverified estimation,87935cf3
57,Jesús Navas,es ESP,MF,Manchester City,29,£ 85000 (€ 97846 $107253),£ 4420000 (€ 5088012 $5577175),Unverified estimation,3f10bd22
58,Jack Wilshere,eng ENG,MF,Arsenal,23,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,9c318325
59,Érik Lamela,ar ARG,MF,Tottenham,23,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,abe66106
60,Hugo Lloris,fr FRA,GK,Tottenham,28,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,8f62b6ee
61,Toby Alderweireld,be BEL,DF,Tottenham,26,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,f7d50789
62,Adam Lallana,eng ENG,MFFW,Liverpool,27,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,99813635
63,Jordan Henderson,eng ENG,MF,Liverpool,25,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,935e6b8f
64,Jermain Defoe,eng ENG,FW,Sunderland,32,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,f1e8372d
65,Bacary Sagna,fr FRA,DF,Manchester City,32,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,6ef56efd
66,Fabian Delph,eng ENG,MF,Manchester City,25,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,111c3236
67,Martín Demichelis,ar ARG,DF,Manchester City,34,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,e9c7102a
68,Branislav Ivanović,rs SRB,DF,Chelsea,31,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,85f8571a
69,César Azpilicueta,es ESP,DF,Chelsea,25,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,53cad200
70,Gary Cahill,eng ENG,DF,Chelsea,29,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,7914b9fe
71,Loïc Rémy,fr FRA,FW,Chelsea,28,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,5c2da10f
72,Romelu Lukaku,be BEL,FW,Everton,22,£ 80000 (€ 92091 $100944),£ 4160000 (€ 4788717 $5249105),Unverified estimation,5eae500a
73,Pedro,es ESP,MF,Chelsea,28,£ 79404 (€ 91404 $100192),£ 4129000 (€ 4753032 $5209990),Unverified estimation,3ca7254a
74,Daley Blind,nl NED,DF,Manchester Utd,25,£ 75000 (€ 86335 $94635),£ 3900000 (€ 4489422 $4921036),Unverified estimation,691bef82
75,Danny Ings,eng ENG,FW,Liverpool,23,£ 75000 (€ 86335 $94635),£ 3900000 (€ 4489422 $4921036),Unverified estimation,07802f7f
76,Lucas Leiva,br BRA,MFDF,Liverpool,28,£ 75000 (€ 86335 $94635),£ 3900000 (€ 4489422 $4921036),Unverified estimation,4c78b5ed
77,Nathaniel Clyne,eng ENG,DF,Liverpool,24,£ 75000 (€ 86335 $94635),£ 3900000 (€ 4489422 $4921036),Unverified estimation,0442183b
78,Mikel Arteta,es ESP,MF,Arsenal,33,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,d934d1e6
79,Chris Smalling,eng ENG,DF,Manchester Utd,25,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,b6964eb6
80,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,31,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,936d9e3e
81,Andy Carroll,eng ENG,FW,West Ham,26,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,b581987a
82,Dimitri Payet,fr FRA,FWMF,West Ham,28,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,58ae47b2
83,Dejan Lovren,hr CRO,DF,Liverpool,26,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,1a2935f6
84,Kolo Touré,ci CIV,DF,Liverpool,34,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,3301c9f4
85,Martin Škrtel,sk SVK,DF,Liverpool,30,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,defb905a
86,Nemanja Matić,rs SRB,MF,Chelsea,26,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,eb7822d7
87,Kevin Mirallas,be BEL,MFFW,Everton,27,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,aa51343f
88,Leighton Baines,eng ENG,DF,Everton,30,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,b18095b6
89,André Ayew,gh GHA,MFFW,Swansea City,25,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,5dbefa9d
90,Jamie Vardy,eng ENG,FW,Leicester City,28,£ 70000 (€ 80579 $88326),£ 3640000 (€ 4190127 $4592967),Unverified estimation,45963054
91,Mame Biram Diouf,sn SEN,FWMF,Stoke City,27,£ 65000 (€ 74824 $82017),£ 3380000 (€ 3890833 $4264898),Unverified estimation,7f4f3e49
92,Xherdan Shaqiri,ch SUI,MF,Stoke City,23,£ 65000 (€ 74824 $82017),£ 3380000 (€ 3890833 $4264898),Unverified estimation,6421ec64
93,Sergio Romero,ar ARG,GK,Manchester Utd,28,£ 65000 (€ 74824 $82017),£ 3380000 (€ 3890833 $4264898),Unverified estimation,1e26e376
94,Christian Eriksen,dk DEN,MF,Tottenham,23,£ 65000 (€ 74824 $82017),£ 3380000 (€ 3890833 $4264898),Unverified estimation,980522ec
95,Alberto Moreno,es ESP,DF,Liverpool,23,£ 65000 (€ 74824 $82017),£ 3380000 (€ 3890833 $4264898),Unverified estimation,11b9265b
96,Adnan Januzaj,be BEL,MF,Manchester Utd,20,£ 60000 (€ 69068 $75708),£ 3120000 (€ 3591538 $3936829),Unverified estimation,4737cebe
97,Connor Wickham,eng ENG,FW,Crystal Palace,22,£ 60000 (€ 69068 $75708),£ 3120000 (€ 3591538 $3936829),Unverified estimation,41cc19c2
98,Scott Dann,eng ENG,DF,Crystal Palace,28,£ 60000 (€ 69068 $75708),£ 3120000 (€ 3591538 $3936829),Unverified estimation,52105203
99,Salomón Rondón,ve VEN,FW,West Brom,25,£ 60000 (€ 69068 $75708),£ 3120000 (€ 3591538 $3936829),Unverified estimation,b318a643
100,Angelo Ogbonna,it ITA,DF,West Ham,27,£ 60000 (€ 69068 $75708),£ 3120000 (€ 3591538 $3936829),Unverified estimation,74b2cd7e
101,Winston Reid,nz NZL,DF,West Ham,27,£ 60000 (€ 69068 $75708),£ 3120000 (€ 3591538 $3936829),Unverified estimation,562eed5c
102,Fabio Borini,it ITA,MFFW,Sunderland,24,£ 60000 (€ 69068 $75708),£ 3120000 (€ 3591538 $3936829),Unverified estimation,ef5b337e
103,Aleksandar Mitrović,rs SRB,FW,Newcastle,20,£ 60000 (€ 69068 $75708),£ 3120000 (€ 3591538 $3936829),Unverified estimation,3925dbd6
104,Fabricio Coloccini,ar ARG,DF,Newcastle,33,£ 60000 (€ 69068 $75708),£ 3120000 (€ 3591538 $3936829),Unverified estimation,78b3399f
105,Georginio Wijnaldum,nl NED,MF,Newcastle,24,£ 60000 (€ 69068 $75708),£ 3120000 (€ 3591538 $3936829),Unverified estimation,eb58eef0
106,Gareth Barry,eng ENG,MF,Everton,34,£ 60000 (€ 69068 $75708),£ 3120000 (€ 3591538 $3936829),Unverified estimation,7dbbe367
107,Aleksandar Kolarov,rs SRB,DF,Manchester City,29,£ 57135 (€ 65770 $72093),£ 2971000 (€ 3420019 $3748820),Unverified estimation,eda40760
108,Tomáš Rosický,cz CZE,,Arsenal,34,£ 56000 (€ 64464 $70661),£ 2912000 (€ 3352102 $3674374),Unverified estimation,dbb688e3
109,Juan Iturbe,py PAR,FWMF,Bournemouth,22,£ 55423 (€ 63799 $69933),£ 2882000 (€ 3317568 $3636520),Unverified estimation,2c0fbaf5
110,Alex Oxlade-Chamberlain,eng ENG,MF,Arsenal,21,£ 55115 (€ 63445 $69545),£ 2866000 (€ 3299150 $3616331),Unverified estimation,38c7feef
111,David Ospina,co COL,GK,Arsenal,26,£ 55000 (€ 63312 $69399),£ 2860000 (€ 3292243 $3608760),Unverified estimation,82b1198a
112,Mathieu Flamini,fr FRA,MF,Arsenal,31,£ 55000 (€ 63312 $69399),£ 2860000 (€ 3292243 $3608760),Unverified estimation,148d4105
113,Charlie Austin,eng ENG,FW,Southampton,26,£ 55000 (€ 63312 $69399),£ 2860000 (€ 3292243 $3608760),Unverified estimation,8d228291
114,Andros Townsend,eng ENG,FWMF,Tottenham,24,£ 55000 (€ 63312 $69399),£ 2860000 (€ 3292243 $3608760),Unverified estimation,b28bbd58
115,Kyle Walker,eng ENG,DF,Tottenham,25,£ 55000 (€ 63312 $69399),£ 2860000 (€ 3292243 $3608760),Unverified estimation,86dd77d1
116,Mousa Dembélé,be BEL,MF,Tottenham,28,£ 55000 (€ 63312 $69399),£ 2860000 (€ 3292243 $3608760),Unverified estimation,f7ee69fb
117,Bakary Sako,ml MLI,MFFW,Crystal Palace,27,£ 55000 (€ 63312 $69399),£ 2860000 (€ 3292243 $3608760),Unverified estimation,381d7d54
118,Joe Allen,wls WAL,MF,Liverpool,25,£ 55000 (€ 63312 $69399),£ 2860000 (€ 3292243 $3608760),Unverified estimation,9feb8f24
119,José Enrique,es ESP,,Liverpool,29,£ 55000 (€ 63312 $69399),£ 2860000 (€ 3292243 $3608760),Unverified estimation,d56364d5
120,Simon Mignolet,be BEL,GK,Liverpool,27,£ 55000 (€ 63312 $69399),£ 2860000 (€ 3292243 $3608760),Unverified estimation,d436eb94
121,Charles N'Zogbia,fr FRA,DFFW,Aston Villa,29,£ 55000 (€ 63312 $69399),£ 2860000 (€ 3292243 $3608760),Unverified estimation,4e31f3e2
122,Bafétimbi Gomis,fr FRA,FW,Swansea City,29,£ 55000 (€ 63312 $69399),£ 2860000 (€ 3292243 $3608760),Unverified estimation,3d6686f9
123,Darren Fletcher,sct SCO,MF,West Brom,31,£ 52000 (€ 59859 $65614),£ 2704000 (€ 3112666 $3411919),Unverified estimation,184e4970
124,Gabriel Paulista,br BRA,DF,Arsenal,24,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,b7ca5c51
125,Phil Jones,eng ENG,DF,Manchester Utd,23,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,def899bd
126,Harry Kane,eng ENG,FW,Tottenham,22,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,21a66f6a
127,Ben Foster,eng ENG,GK,West Brom,32,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,d0b3ceb9
128,Mark Noble,eng ENG,MF,West Ham,28,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,ff527768
129,Pedro Obiang,gq EQG,MF,West Ham,23,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,ba1e04b3
130,Micah Richards,eng ENG,DF,Aston Villa,27,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,ff87875a
131,Adam Johnson,eng ENG,MF,Sunderland,28,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,1ba61951
132,Lee Cattermole,eng ENG,MF,Sunderland,27,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,538e77d5
133,Yann M'Vila,fr FRA,MF,Sunderland,25,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,d4133fa1
134,Asmir Begović,ba BIH,GK,Chelsea,28,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,7b4de647
135,Aaron Lennon,eng ENG,MFFW,Everton,28,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,2ff964a0
136,James McCarthy,ie IRL,MF,Everton,24,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,64b08de7
137,Phil Jagielka,eng ENG,DF,Everton,32,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,3233eefd
138,Steven Pienaar,za RSA,MF,Everton,33,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,8056f6e6
139,Tom Cleverley,eng ENG,MF,Everton,25,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,6cdd8245
140,Łukasz Fabiański,pl POL,GK,Swansea City,30,£ 50000 (€ 57557 $63090),£ 2600000 (€ 2992948 $3280691),Unverified estimation,9328b835
141,Mario Suárez,es ESP,MF,Watford,28,£ 48000 (€ 55254 $60567),£ 2496000 (€ 2873230 $3149463),Unverified estimation,7106f0a0
142,Gerard Deulofeu,es ESP,MFFW,Everton,21,£ 48000 (€ 55254 $60567),£ 2496000 (€ 2873230 $3149463),Unverified estimation,39583cfd
143,José Fonte,pt POR,DF,Southampton,31,£ 47000 (€ 54103 $59305),£ 2444000 (€ 2813371 $3083849),Unverified estimation,90f87966
144,Jonny Evans,nir NIR,DFMF,West Brom,27,£ 47000 (€ 54103 $59305),£ 2444000 (€ 2813371 $3083849),Unverified estimation,f8fcd2a5
145,John O'Shea,ie IRL,DF,Sunderland,34,£ 47000 (€ 54103 $59305),£ 2444000 (€ 2813371 $3083849),Unverified estimation,7c1f4685
146,Kieran Gibbs,eng ENG,DFMF,Arsenal,25,£ 46000 (€ 52952 $58043),£ 2392000 (€ 2753512 $3018236),Unverified estimation,46ee5234
147,Philipp Wollscheid,de GER,DF,Stoke City,26,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,c4cca587
148,Ryan Shawcross,eng ENG,DF,Stoke City,27,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,285a3d44
149,Calum Chambers,eng ENG,MFDF,Arsenal,20,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,dc6f5bdd
150,Héctor Bellerín,es ESP,DF,Arsenal,20,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,f874dd44
151,Matteo Darmian,it ITA,DF,Manchester Utd,25,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,96e0490d
152,Nordin Amrabat,ma MAR,MFFW,Watford,28,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,7c2a398c
153,Sadio Mané,sn SEN,MFFW,Southampton,23,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,c691bfe2
154,Shane Long,ie IRL,FWMF,Southampton,28,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,9f472354
155,Virgil van Dijk,nl NED,DF,Southampton,24,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,e06683ca
156,Nacer Chadli,be BEL,MF,Tottenham,25,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,5b54bf3b
157,Yannick Bolasie,cd COD,MFFW,Crystal Palace,26,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,715fc0fe
158,Joleon Lescott,eng ENG,DF,West Brom,32,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,62393d3b
159,Jonas Olsson,se SWE,DF,West Brom,32,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,48844a9b
160,Emre Can,de GER,MFDF,Liverpool,21,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,a65ce836
161,Ayoze Pérez,es ESP,MFFW,Newcastle,22,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,819aa8e7
162,Daryl Janmaat,nl NED,DF,Newcastle,26,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,45da6694
163,Moussa Sissoko,fr FRA,MF,Newcastle,25,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,2acd49b9
164,Willy Caballero,ar ARG,GK,Manchester City,33,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,a179d516
165,Ashley Williams,wls WAL,DF,Swansea City,30,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,a498e276
166,Gökhan Inler,ch SUI,MF,Leicester City,31,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,3200c583
167,Riyad Mahrez,dz ALG,MF,Leicester City,24,£ 45000 (€ 51801 $56781),£ 2340000 (€ 2693653 $2952622),Unverified estimation,892d5bb1
168,Rickie Lambert,eng ENG,FW,West Brom,33,£ 43000 (€ 49499 $54258),£ 2236000 (€ 2573935 $2821394),Unverified estimation,495de82c
169,Federico Fernández,ar ARG,DF,Swansea City,26,£ 43000 (€ 49499 $54258),£ 2236000 (€ 2573935 $2821394),Unverified estimation,f25b010f
170,Nacho Monreal,es ESP,DF,Arsenal,29,£ 42865 (€ 49344 $54088),£ 2229000 (€ 2565877 $2812562),Unverified estimation,d4cb83cc
171,Christian Fuchs,at AUT,DF,Leicester City,29,£ 42500 (€ 48923 $53627),£ 2210000 (€ 2544006 $2788587),Unverified estimation,a67a09fb
172,Valon Behrami,ch SUI,MF,Watford,30,£ 42000 (€ 48348 $52996),£ 2184000 (€ 2514076 $2755780),Unverified estimation,d3d758d8
173,Dušan Tadić,rs SRB,MFFW,Southampton,26,£ 42000 (€ 48348 $52996),£ 2184000 (€ 2514076 $2755780),Unverified estimation,2475dcc6
174,James Tomkins,eng ENG,DF,West Ham,26,£ 42000 (€ 48348 $52996),£ 2184000 (€ 2514076 $2755780),Unverified estimation,e7ca0439
175,Seydou Doumbia,ci CIV,FW,Newcastle,27,£ 41423 (€ 47684 $52268),£ 2154000 (€ 2479542 $2717926),Unverified estimation,c49afee6
