Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Bastian Schweinsteiger,de GER,MF,Manchester Utd,30,£ 240000 (€ 276272 $302833),£ 12480000 (€ 14366151 $15747316),Unverified estimation,ccc22fea
2,Wayne Rooney,eng ENG,FWMF,Manchester Utd,29,£ 235000 (€ 270516 $296524),£ 12220000 (€ 14066856 $15419247),Unverified estimation,f07be45a
3,David de Gea,es ESP,GK,Manchester Utd,24,£ 200000 (€ 230227 $252361),£ 10400000 (€ 11971793 $13122764),Unverified estimation,7ba6d84e
4,Yaya Touré,ci CIV,MF,Manchester City,32,£ 190000 (€ 218715 $239743),£ 9880000 (€ 11373203 $12466625),Unverified estimation,c204f844
5,Eden Hazard,be BEL,MFFW,Chelsea,24,£ 178577 (€ 205566 $225329),£ 9286000 (€ 10689429 $11717114),Unverified estimation,a39bb753
6,John Terry,eng ENG,DF,Chelsea,34,£ 175000 (€ 201448 $220816),£ 9100000 (€ 10475318 $11482418),Unverified estimation,68517cfd
7,Cesc Fàbregas,es ESP,MF,Chelsea,28,£ 164788 (€ 189694 $207931),£ 8569000 (€ 9864066 $10812400),Unverified estimation,33508c78
8,Juan Mata,es ESP,MF,Manchester Utd,27,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,29733c72
9,David Silva,es ESP,MF,Manchester City,29,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,e2716bd0
10,Sergio Agüero,ar ARG,FW,Manchester City,27,£ 160000 (€ 184181 $201889),£ 8320000 (€ 9577434 $10498211),Unverified estimation,4d034881
11,Kevin De Bruyne,be BEL,MF,Manchester City,24,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,e46012d4
12,Raheem Sterling,eng ENG,MF,Manchester City,20,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,b400bde0
13,Samir Nasri,fr FRA,MFFW,Manchester City,28,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,165bed61
14,Vincent Kompany,be BEL,DF,Manchester City,29,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,d2bff301
15,Diego Costa,es ESP,FW,Chelsea,26,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,a190d597
16,Radamel Falcao,co COL,FW,Chelsea,29,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,66116290
17,Oscar,br BRA,MF,Chelsea,23,£ 150000 (€ 172670 $189271),£ 7800000 (€ 8978844 $9842073),Unverified estimation,57fe98dd
18,Alexis Sánchez,cl CHI,MF,Arsenal,26,£ 140000 (€ 161159 $176653),£ 7280000 (€ 8380255 $9185935),Unverified estimation,2c0f8e9e
19,Mesut Özil,de GER,MF,Arsenal,26,£ 140000 (€ 161159 $176653),£ 7280000 (€ 8380255 $9185935),Unverified estimation,16380240
