Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,£ 515385 (€ 614630 $626306),£ 26800000 (€ 31960734 $32567928),,dea698d9
2,Kevin De Bruyne,be BEL,MF,Manchester City,30,£ 400000 (€ 477026 $486088),£ 20800000 (€ 24805346 $25276601),,e46012d4
3,David de Gea,es ESP,GK,Manchester Utd,30,£ 375000 (€ 447212 $455708),£ 19500000 (€ 23255012 $23696813),,7ba6d84e
4,Jadon Sancho,eng ENG,MFFW,Manchester Utd,21,£ 350000 (€ 417398 $425327),£ 18200000 (€ 21704678 $22117026),,dbf053da
5,Raphaël Varane,fr FRA,DF,Manchester Utd,28,£ 340000 (€ 405472 $413175),£ 17680000 (€ 21084544 $21485111),,9f8e9423
6,Romelu Lukaku,be BEL,FW,Chelsea,28,£ 325000 (€ 387584 $394947),£ 16900000 (€ 20154343 $20537238),,5eae500a
7,Jack Grealish,eng ENG,FWMF,Manchester City,25,£ 300000 (€ 357769 $364566),£ 15600000 (€ 18604009 $18957451),,b0b4fd3e
8,Raheem Sterling,eng ENG,FWMF,Manchester City,26,£ 300000 (€ 357769 $364566),£ 15600000 (€ 18604009 $18957451),,b400bde0
9,Paul Pogba,fr FRA,MF,Manchester Utd,28,£ 290000 (€ 345844 $352414),£ 15080000 (€ 17983876 $18325536),,867239d3
10,N'Golo Kanté,fr FRA,MF,Chelsea,30,£ 289423 (€ 345156 $351713),£ 15050000 (€ 17948099 $18289079),,b9fbae28
11,Timo Werner,de GER,FWMF,Chelsea,25,£ 271923 (€ 324286 $330447),£ 14140000 (€ 16862865 $17183228),,49fe9070
12,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,£ 250000 (€ 298141 $303805),£ 13000000 (€ 15503341 $15797876),,d5dd5f1f
13,Anthony Martial,fr FRA,MFFW,Manchester Utd,25,£ 250000 (€ 298141 $303805),£ 13000000 (€ 15503341 $15797876),,8b788c01
14,Edinson Cavani,uy URU,FW,Manchester Utd,34,£ 250000 (€ 298141 $303805),£ 13000000 (€ 15503341 $15797876),,527f063d
15,John Stones,eng ENG,DF,Manchester City,27,£ 250000 (€ 298141 $303805),£ 13000000 (€ 15503341 $15797876),,5eecec3d
16,Virgil van Dijk,nl NED,DF,Liverpool,30,£ 220000 (€ 262364 $267349),£ 11440000 (€ 13642940 $13902131),,e06683ca
17,Thomas Partey,gh GHA,MF,Arsenal,28,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),,529f49ab
18,Marcus Rashford,eng ENG,MFFW,Manchester Utd,23,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),,a1d5bd30
19,Harry Kane,eng ENG,FW,Tottenham,28,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),,21a66f6a
20,Tanguy Ndombele,fr FRA,MF,Tottenham,24,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),,5cdddffa
21,Mohamed Salah,eg EGY,FW,Liverpool,29,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),,e342ad68
22,Thiago Alcántara,es ESP,MF,Liverpool,30,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300),,77e84962
23,Saúl Ñíguez,es ESP,MF,Chelsea,26,£ 198269 (€ 236449 $240941),£ 10310000 (€ 12295342 $12528931),,c14bc029
24,Son Heung-min,kr KOR,MFFW,Tottenham,29,£ 192000 (€ 228972 $233322),£ 9984000 (€ 11906566 $12132768),,92e7e919
25,Harry Maguire,eng ENG,DF,Manchester Utd,28,£ 190000 (€ 226587 $230892),£ 9880000 (€ 11782539 $12006385),,d8931174
26,Ben Chilwell,eng ENG,MF,Chelsea,24,£ 190000 (€ 226587 $230892),£ 9880000 (€ 11782539 $12006385),,d2424d1b
27,Alexandre Lacazette,fr FRA,FWMF,Arsenal,30,£ 182115 (€ 217184 $221310),£ 9470000 (€ 11293588 $11508145),,9dbb75ca
28,Bruno Fernandes,pt POR,MF,Manchester Utd,26,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),,507c7bdf
29,Fabinho,br BRA,MF,Liverpool,27,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470),,7f3b388c
